Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Dana Budeanu,dana.budeanu.79,100004273922830,,,,,763115,N/A,2023-07-07 11:25:42 EET,2023-07-07,11:25:42,Photo,"2,634",2183,0,9,402,6,31,0,0,3,,-,0,0,0,N/A,https://www.facebook.com/dana.budeanu.79/posts/2637045396447899,"mirror, mirror on the wall, who s the smartest of them all?",https://www.facebook.com/photo.php?fbid=2637045339781238&set=a.103012786517852&type=3,,,,,,,,"2,634",4.23
Iosefina Iosefina Pascal,IosefinaIosefinaPascal,100063953040074,NEWS_SITE,RO,"NU mor Iosefinele, cand vor cainii",2019-04-25 16:10:49,79251,88914,2023-07-06 17:03:19 EET,2023-07-06,17:03:19,Status,"2,558",1298,190,579,9,18,0,395,65,4,,-,0,0,0,N/A,https://www.facebook.com/100063953040074/posts/699310992210663,"Mi se pare normal și deontologic, după ce i-am dezmembrat ieri și azi pe ăia de la Miliția Ilfov, pe Budăi, Thuma, Firea și Pandele, să vă împărtășesc și ticăloșia jurnaliștilor ONGisti făcători de anchete servite. Asta, așa, pentru că sunt fată bună și vreau să înțelegeți de ce am urlat aseară LIVE că este o operațiune comandată și că nici una dintre părți nu e preocupată de soarta amărâților din centrele respective. Jurnaliștii #ongisti știau din anul 2022 de ororile din căminele de bătrâni și au ales să tacă ca căcatul în tufă până în februarie 2023 când au publicat prima parte a anchetei despre atrocități. Mai grav, însă, conform protocolului dintre CRJ și Ministerul Muncii, #ongistii aveau OBLIGAȚIA de a sesiza PÎCCJ când identificau nereguli, mai ales din sfera PENALULUI. Nu au făcut-o, din moment ce ancheta a pornit în urma autosesizarii procurorilor DIICOT în februarie 2023. P. S: Vecinii știau și vedeau de cel puțin doi ani ce se întâmplă cu bătrânii din azilele respective. TOȚI STIAU! Reglare de conturi pe cadavrele mâncate de viermi ale bătrânilor României!",,,,,,,,,"2,558",1.48
Iosefina Iosefina Pascal,IosefinaIosefinaPascal,100063953040074,NEWS_SITE,RO,"NU mor Iosefinele, cand vor cainii",2019-04-25 16:10:49,79289,88974,2023-07-09 21:15:25 EET,2023-07-09,21:15:25,Live Video Complete,"2,416",1026,427,674,257,4,0,13,6,9,owned,Yes,7589,8124,0,00:53:12,https://www.facebook.com/100063953040074/posts/802229741464074,"LIVE cu noi dezvăluiri din căminele ororii, direct din stenograme și cu poze de la fața locului. Vorbim și despre cum au distrus USRiștii Bacăul, despre cum sifoneaza STS banii românilor printr-un proiect big brother, despre sistemul global de fact checking care urmeaza a fi implementat și despre dubla măsură a SUA cu privire la arme.",https://www.facebook.com/IosefinaIosefinaPascal/videos/802228794797502/,,,,,,,,"2,416",5.63
Daniel Roxin,,100051301420994,AUTHOR,RO,"Realizator Tv, Scriitor, Membru al Uniunii Ziariștilor Profesioniști din România",2012-07-24 15:47:02,87038,87984,2023-07-06 13:07:03 EET,2023-07-06,13:07:03,Photo,"2,376",1956,60,155,135,68,0,0,0,2,,-,0,0,0,N/A,https://www.facebook.com/100051301420994/posts/839396491113724,Cappadocia - Turcia,https://www.facebook.com/photo.php?fbid=839396064447100&set=a.251578509895528&type=3,,,,,,,,"2,376",2.03
Iosefina Iosefina Pascal,IosefinaIosefinaPascal,100063953040074,NEWS_SITE,RO,"NU mor Iosefinele, cand vor cainii",2019-04-25 16:10:49,79263,88924,2023-07-07 09:04:13 EET,2023-07-07,09:04:13,Status,"2,367",1126,226,540,3,23,0,178,266,5,,-,0,0,0,N/A,https://www.facebook.com/100063953040074/posts/699753145499781,"Neaaața, vreau să vă reamintesc realitatea din sistemul de justiție din România: Doar 4 torționari sunt în arest, 11 sunt în arest la domiciliu și 6 sunt în libertate cu control judiciar. Imaginați-vă, vă rog, că aceste bestii care au copii și pozează în mari creștini pe Facebook i-au bătut pe bătrânii de care trebuiau să aibă grijă cu ȚEVI, COZI DE MĂTURĂ, I-AU STRANGULAT, LE-AU DAT PUMNI ÎN CAP, I-AU UMILIT ÎN FEL ȘI CHIP și ei NU SUNT ARESTAȚI. Niște JUDECĂTORI au decis că cele 17 animale torționare NU REPREZINTĂ UN PERICOL PUBLIC și nu trebuie băgate în arest. Asta e justiția din România. Într-o țară normală, ar fi fost arestați și milițienii din Ilfov care au semnat documentele în care spuneau că ""totul era în regulă"" la cămine. În schimb, polițiștii care l-au oprit pe Horrorniceanu sunt cercetați penal pentru ABUZ ÎN SERVICIU. Asta e mafia din România.",,,,,,,,,"2,367",1.37
Dana Budeanu,dana.budeanu.79,100004273922830,,,,,763151,N/A,2023-07-08 10:52:11 EET,2023-07-08,10:52:11,Photo,"2,272",1967,0,4,250,22,22,0,0,7,,-,0,0,0,N/A,https://www.facebook.com/dana.budeanu.79/posts/2637998439685928,rodia de dimineata…,https://www.facebook.com/photo.php?fbid=2637998413019264&set=a.103012786517852&type=3,,,,,,,,"2,272",4.32
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,7972,27941,2023-07-08 09:45:17 EET,2023-07-08,09:45:17,Live Video Complete,"2,047",1164,381,283,160,7,5,26,10,11,owned,Yes,9101,10660,0,00:13:23,https://www.facebook.com/100085495329227/posts/242169745275375,Valea Uzului - 8 iul 2023 Materialul fără întreruperi aici: https://t.me/wwwAurelianRO/12085,https://www.facebook.com/100085495329227/videos/242169628608720/,,,Valea Uzului,,,,,"2,047",1.18
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,141570,158738,2023-07-06 15:51:42 EET,2023-07-06,15:51:42,Status,"1,940",1518,44,315,6,24,2,17,7,7,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/293103613290853,"Toată lumea aplaudă reușita listării la bursă a acțiunilor deținute la Hidroelectrica de către Fondul Proprietatea. Pachetul de 20% din acțiuni scos la vânzare prin ofertă publică s-a vândut cu cca 1,9 miliarde euro. Fondul Proprietatea urmează să distribuie acești bani în termen de trei luni cu titlu de dividende. Ce tare! Statul român își freacă palmele, visând să încaseze minim 300 de milioane de euro din impozitul pe profit & impozitul pe dividende aferent tranzacției, iar fondurile de pensii administrate privat, cca 30% din sumă. Investitorii instituționali se bucură că au făcut un plasament bun, la 104 lei pe acțiune (în loc de 112), iar cei speculativi se așteaptă la o explozie a valorii acțiunii, după listare, pentru a „marca” un profit substanțial. Yeeey! Este o certitudine că Hidroelectrica este o investiție bună, fiind o companie publică hiper-profitabilă și de viitor. Cine a cumpărat, a făcut o afacere bună, atât pe termen scurt, cât și pe termen mediu. Și Statul a făcut o afacere bună, pentru că a scăpat de un acționar incomod, ultra-ideologizat și prea puternic dpdv geopolitic. Vorbesc, desigur, de Fondul Proprietatea, deținut de fonduri americane bine înșurubate în establishmentul american. Vânzătorul, însă, a făcut o afacere proastă. Și atunci când a vândut, pe nepusă masă, participațiile la Petrom OMV, a făcut o afacere proastă. Plus alte vânzări ciudate de acțiuni bune, care mie mi-au dat de mult certitudinea că Fondul Proprietatea se vrea a fi lichidat sau transformat într-un investitor/emitent minor. Evaluările de dinainte de lansarea ofertei publice dădeau Hidroelectrica la o valoare de piață de minim 15 miliarde de euro, iar acum valoarea dată de tranzacție este de 10 miliarde de euro. Cu siguranță, această valoare va mai crește, dar nu pentru Fondul Proprietatea, care a ieșit (a făcut exit) din acționariatul Hidroelectrica. Și nici pentru fondurile de pensii administrate privat. Fonduri la care noi, cei 8 milioane de contribuabili, suntem „acționari” - bănuiesc că foarte puțini cunosc această realitate. Hidroelectrica reprezenta, în portofoliul Fondului Proprietatea, cca 75% din valoare. Odată vândute acțiunile și repartizate dividendele aferente, portofoliul de acțiuni și valoarea Fondului Proprietatea se vor fi redus la 25%. Evident, acționarii actuali ai Fondului Proprietatea își vor lua banii, foarte mulții bani. Dar singurii care vor profita vor fi fost acționarii americani, care reprezintă cca 65% din acțiunile emise de Fondul Proprietatea. Singurii care, de altfel, au impus și celelalte lichidări de dețineri ale Fondului Proprietatea la societățile de stat (societăți făcute cadou de Statul român, la momentul constituirii acestui așa-zis „vehicul de despăgubire a foștilor proprietari de imobile naționalizate”). Fondurile americane sunt și singurele care au obținut acțiuni la Fondul Proprietatea prin cumpărarea „drepturilor litigioase” de la o parte dintre titularii de despăgubiri pentru imobilele naționalizate cu japca de comuniști, la 20-30% din valoarea de piață a acțiunilor Fondului Proprietatea. Fondurile de pensii administrate privat au obținut acțiuni doar după listarea Fondului Proprietatea, la valoarea de piață illo tempore, adică, la prețuri de 3-4 ori mai mari decât cele plătite de fondurile americane. Să nu mi se spună că s-a uitat această istorie cu zâne și cu inorogi a Fondului Proprietatea. Ironic, în portofoliul Fondului Proprietatea se găsesc acum mai multe societăți în dificultate financiară/insolvență decât societăți profitabile. În considerarea faptului că fondurile de pensii administrate privat dețin cca 30% din Fondul Proprietatea, iar acțiunile Hidroelectrica ies din portofoliul FP, este clar că valoarea de piață a FO se va reduce cu 3/4 ... Cash-ul rezultat din distribuirea de dividende în favoarea acestor fonduri de pensii (cca 600 de milioane de euro, după un calcul aritmetic simplu) va trebui investit în acțiuni listate (nu prea mai sunt în prezent astfel de acțiuni la bursa noastră) sau în titluri/obligațiuni de stat (de-astea vor fi ... căcălău, la ce gaură bugetară există în prezent). Deci, situația financiară și previzională a pensiilor „private” nu arată prea bine în acest moment. În ce privește fondurile americane, el ne vor spune la revedere neică și-un praz verde, căci nu văd cum ar mai re-investi acești bani în România. Nu mai există companii de talia Hidroelectrica sau a Petrom OMV care să mai aibă acțiuni de vândut, iar Dacia nu este listată. Interesant - fiind persoane juridice, este foarte probabil că fondurile americane nu vor achita nici impozitul pe dividende. Apropo de impozite - Statul român ar face bine să fie atent la „optimizările fiscale” ale Fondului Proprietatea, ca să nu se trezească în prezența unor magistrale artificii contabile care să înghită profitul de 1,9 miliarde euro rezultat din vânzarea celor 20% din acțiunile Hidroelectrica. De exemplu, prin pierderi contabile, care se „recuperează” din profitul (truncated)",,,,,,,,,"1,940",1.5
Oana-Elena Lovin,OanaLov369,100053585390813,COMEDIAN,RO,Să râdem ca să nu plângem,2019-11-29 11:49:44,50676,80831,2023-07-08 15:29:54 EET,2023-07-08,15:29:54,Photo,"1,886",1024,211,43,194,15,383,0,0,16,,-,0,0,0,N/A,https://www.facebook.com/100053585390813/posts/797548045374701,Fă chiar acum testul scoica și află ce gen ești: Dacă ai scoică - ești femeie Dacă știi cum arată scoica - ești bărbat. Urmăriți-mă pentru mai multe teste și sfaturi practice de eliminare a petelor dificile de pe haine. #makescoicagreatagain,https://www.facebook.com/photo.php?fbid=797548022041370&set=a.290648139398030&type=3,,,,,,,,"1,886",1.96
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,141570,158738,2023-07-06 06:30:00 EET,2023-07-06,06:30:00,Status,"1,873",1550,45,240,4,19,1,3,10,1,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/292273020040579,"Toată lumea are acum ochii ațintiți către listarea la bursă a acțiunilor deținute la Hidroelectrica de Fondul Proprietatea, dar această companie – fanion a industriei românești a fost multă vreme centrul atenției multor hiene și a „produs” multe dosare penale, cu politicieni influenți (aflați acum la pușcărie, în dizgrație) și băieți deștepți din biznis sau „jurnalism” pe post de inculpați, martori mincinoși, martori – sifonari sau martori sub acoperire. Unii dintre aceștia au scăpat de pușcărie prin prescripție, chiar dacă au la activ și alte condamnări, dar emise „cu suspendare”. Unii dintre acești „jurmaliști” nu ezită să se erijeze în instanțe morale, cu toate bubele penale de pe propriul scalp. Iată mai jos un astfel de exemplu. (extras din sentința penală nr.66F/11:=:http://nr.66F/11 aprilie 2023, pronunțată în dosarul nr.3650/2/2019:=:http://nr.3650/2/2019, de Curtea de apel București, Secția I Penală – documentul poate fi studiat de oricine, întrucât este public) […] constatând împlinirea termenului prescripției generale a răspunderii penale, Curtea […] va dispune încetarea procesului penal, atât față de inculpate Udrea E. – G., cu privire la infracțiunile de trafic de influență și spălarea banilor, cât și față de inculpatul Andronic D. – C., pentru infracțiunea de mărturie mincinoasă. (p. 9-10) […] toți acești bani au fost cheltuiți cu știrea și potrivit indicațiilor inculpatei Udrea […], alte sume, pe care chiar inculpata i-a cerut, au fost date inculpatului Andronic, pentru a finanța Editura Evenimentul Zilei și Capital, astfel încât să fie plătite salariile anagajaților, precum și, conform unei presupuneri proprii, pentru plata părților sociale ale Editurii Evenimentul Zilei și Capital. (p.17) […] pentru a-și trafica influența în interesul afaceriștilor cu energie electrică […], inculpata Udrea a făcut demersuri și pentru a prelua prin interpuși o creanță în valoare de 900.000 de euro, care reprezenta un împrumut acordat de Buzăianu printr-un offshore controlat de acesta și care era garantată prin instituirea unui gaj asupra a 50% din părțile sociale ale Editurii Evenimentului Zilei și Capital SRL. […] inculpata Udrea, care știa de la Andronic […] că preluarea părților sociale ale Editurii presupunea și asumarea unei datorii către Buzăianu, a convenit cu Andronic să se implice împreună în această afacere. […] dovadă că inculpata Udrea era interesată în preluarea părților sociale ale Editurii stă chiar corespondența electronica purtată de aceasta cu inculpatul Andronic. […] (aflând că proprietarul părților sociale caută și alți cumpărători) Andronic i-a transmis un email inculpatei Udrea în cuprinsul căruia i-a relatat despre (pontențiala) preluare a părților sociale (de către un terț) și și-a exprimat dezamăgirea că a fost folosit ca paravan, el implicându-se inclusiv cu bani, ca ulterior să fie scos din afacere. […] urmare a supărării exprimate de inculptatul Andronic, semnarea contractului de vânzare – cumpărare a părților sociale ale Editurii s-a amânat, iar în perioada următoare, din corespondența purtată pe email între inculpații Andronic și Udrea rezultă că cei doi s-au înțeles să preia împreună Editura, iar inculpatul Andronic să fie proprietar la vedere. […] inculpata Udrea era consultată și decidea ce anume trebuia să se publice ori nu în ziarele editurii. (p.19) […] din aceeași corespondență rezultă că inculpatei Udrea i se comunicau drafturi de articole, interviuri ce urmau a fi publicate în Evenimentul Zilei, pentru ca ea să își exprime acordul (spre exemplu, articole care îl vizau pe Crin Antonescu, Vasile Blaga, Dinu Pescariu, Victor Ponta, Dan Voiculescu, Radu Berceanu etc.). De asemenea, inculpata îi dădea indicații lui Andronic în legătură cu subiectele care ar trebuie sau nu abordate în articolele de presă, acesta conformându-se solicitărilor ei fără nicio obiecție. (p.24) […] (în discuțiile cu martora Topoliceanu, Udrea și-a manifestat) preocuparea de a se asigura că inculpatul Andronic nu va putea să vândă marca Evenimentul Zilei fără știrea sa. (p.20) […] Rezultă, așadar, din clauzele acestei convenții, că Andronic se obliga să vândă 100% din părțile sociale, pentru suma de 100.000 de euro, putând însă să răscumpere imediat 20% din ele la un preț de 550.000 de euro – valorile la care s-au convenit aceste tranzacții denotă că, de fapt, Andronic deținea la vedere, ca interpus, și părțile sociale ale inculpatei Udrea. (p.22) […] Plata trebuia să fie una simulată, urmând ca apoi martorul […] să restituie banii plătiți. Scopul acestei plăți formale era așadar acela ca tranzacția să lase urme prin conturi. În final, plata astfel gândită nu a mai fost făcută. […] probatoriul administrat în cauză oferă numeroase alte dovezi care atestă dincolo de orice dubiu că inculpata Udrea era adevăratul proprietar al majorității părților sociale. (p. 23) […] există o bogată corespondență electronica purtată prin email între inculpații Andronic și Udrea, care ilustrează cu puterea evidenței...",,,,,,,,,"1,873",1.44
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,141591,158766,2023-07-08 06:53:56 EET,2023-07-08,06:53:56,Status,"1,834",1459,95,230,4,7,5,27,7,0,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/294144683186746,"Presupunând că meditează profund pe o plaja izolată de SPP de la Neptun, totuși, am o întrebare de uichend pentru herr präsident Iohannis: care v-o fi fiind opinia asupra deciziei administrației Biden de a livra Ucrainei bombe cu dispersie/fragmentare? Precizăm că aceste bombe ucid civili, inclusiv copii, inclusiv populația atacatorului, motiv pentru care 100 de țări, inclusiv toți ceilalți membri ai NATO, au interzis aceste arme, printr-un acord internațional din 2010, singurele țări care nu au semnat acordul fiind SUA, Rusia, China și … Ucraina. Precizăm, de asemenea, că ONU a protestat contra deciziei, iar Germania a declarat că se opune ferm deciziei… Dpdv moral, cum vi se pare decizia americană, herr präsident? Mai suntem sau nu băieții buni care luptă contra celor răi? Și, en passant, despre PACE când începem să vorbim și noi? Mă opresc aici, că risc să îi stric siesta omului…",,,,,,,,,"1,834",1.46
Peter Costea,PeterCosteaEuroparlamentar,100044605891725,PERSON,RO,"Președinte Alianța Renașterea Națională

https://costea-parlamentuleuropean.ro/c-v-peter-costea/",2013-12-30 19:27:39,23481,26376,2023-07-08 10:54:04 EET,2023-07-08,10:54:04,Native Video,"1,818",1294,67,414,34,0,3,5,0,1,owned,Yes,21777,23959,0,00:04:13,https://www.facebook.com/100044605891725/posts/821411466022376,"Pastor Florin Ianovici, mesaj de susținere pentru inițiativa cetățenească pentru desemnarea lunii iunie ca Lună a Indentității Creștine în România. https://identitate-crestina.ro/",https://www.facebook.com/PeterCosteaEuroparlamentar/videos/621478756626327/,,,,,,,,"1,818",10.51
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,141602,158771,2023-07-09 07:07:20 EET,2023-07-09,07:07:20,Status,"1,770",1011,62,82,3,12,583,16,0,1,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/294763966458151,"S-a găsit muzică la nevărsi. În cantități reduse, dar riscante. Organele vor ridica nivelul de alertă la castelul electro și la antold, unde se fredonează frecvent “mai avem nevoie și de ia_arbăăă…”",,,,,,,,,"1,770",1.49
