Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,424947,682370,2023-09-18 09:30:47 EET,2023-09-18,09:30:47,Live Video Complete,"15,147",7238,2101,4102,1504,28,51,28,29,66,owned,Yes,142571,165027,0,02:03:04,https://www.facebook.com/100044414259997/posts/2601078990048215,"BOMBA! DIANA SOSOACA A PRELUAT CEA MAI MARE PARTE DIN PRM, PARTIDUL LEGENDAR AL LUI VADIM TUDOR! ADEVARUL A AJUNS LA NOI! MODERATOR ANCA ALEXANDRESCU! INVITATI: DIANA SOSOACA, LUIS LAZARUS, PROF. CORVIN LUPU, DANIL TULUGEA SI AV MIHAI RAPCEA! CUM SE ALEG PRESEDINTII IN ROMANIA! CAT CONTAM NOI SI CAT CONTEAZA FACTORUL EXTERN! INFORMATII DE MAXIMA IMPORTANTA SI GRAVITATE!",https://www.facebook.com/LuisLazarusZeusTV/videos/2601078990048215/,,,"ADEVARUL A AJUNS LA NOI!DIANA SOSOACA, LUIS LAZARUS, CORVIN LUPU!CUM SE ALEG PRESDINTII IN ROMANIA!",,,,,1.26
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,425194,682606,2023-09-19 11:52:43 EET,2023-09-19,11:52:43,Live Video Complete,"12,110",4360,3033,3509,1062,21,15,35,14,61,owned,Yes,60498,71905,0,02:17:32,https://www.facebook.com/100044414259997/posts/1974544546260271,"DIANA SOSOACA, LIVE, BUCURESTI, CALIN MARINCUS, LIVE, DE LA CLUJ, CONDAMNAT DIN CAUZA UNUI LIVE PE FACEBOOK, INTR-UN PROCES CU ARAFAT SI IONELA DANCIU, LIVE, DE LA ALBA IULIA, DESPRE LUPTA CU SISTEMUL!",https://www.facebook.com/LuisLazarusZeusTV/videos/1974544546260271/,,,"DIANA SOSOACA, LIVE, BUCURESTI, CALIN MARINCUS, LIVE, DE LA CLUJ, CONDAMNAT DIN CAUZA UNUI LIVE PE FACEBOOK, INTR-UN PROCES CU ARAFAT SI IONELA DANCIU, LIVE, DE LA ALBA IULIA, DESPRE LUPTA CU SISTEMUL!",,,,,1.06
Iosefina Iosefina Pascal,IosefinaIosefinaPascal,100063953040074,NEWS_SITE,RO,"NU mor Iosefinele, cand vor cainii",2019-04-25 16:10:49,84814,94721,2023-09-18 23:12:31 EET,2023-09-18,23:12:31,Live Video Complete,"6,678",4041,393,1628,524,25,5,20,17,25,owned,Yes,46477,55762,0,00:23:29,https://www.facebook.com/100063953040074/posts/1518045872269607,LIVE despre cum a lăsat OMV oamenii fără salarii - pe cine dau vina austriecii. Vorbim și despre procurorii braconieri prinși în flagrant și despre un posibil caz de crimă! Cum puteți susține jurnalismul independent: Revolut: https://revolut.me/iosefinapascal Paypal: https://www.paypal.me/IosefinaPascal?locale.x=en_US:=:https://www.paypal.com/paypalme/IosefinaPascal?country.x=US&locale.x=en_US Sau transfer bancar Nume: Iosefina Pascal IBAN: RO74INGB0000999908232066,https://www.facebook.com/IosefinaIosefinaPascal/videos/1518045872269607/,,,,,,,,14.12
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,143845,161061,2023-09-19 07:50:45 EET,2023-09-19,07:50:45,Status,"4,940",3500,148,864,7,39,1,314,53,14,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/333154829285731,"Întreaga Românie a consumat ieri sub 6000 MW de energie electrică. Gospodării, birouri, (hiper)magazine, iluminat stradal, industrie. Capacitatea de producție este de 18000 MW. Adică, de trei ori mai mult. Statul român vrea să forțeze încă cel puțin 5000 MW din regenerabile, prin așa-numitele “contracte pentru diferență” (în baza cărora consumatorii și, în ultimă instanță, vor plăti un fel de taxă care să le asigure un profit minimal producătorilor, furnizorilor și dealerilor). Deci, vom avea de 4 ori mai multă energie față de cât consumăm, industrial, comercial sau clasic. La asta trebuie adăugat ce produc prosumatorii. Supra-producția de energie electrică va aduce falimente, acolo unde “trebuie” (recte, unde nu e green deal). De ce consumul este atât de redus? Identific trei cauze: - industria s-a micșorat la niveluri jenante; - gospodăriile și-au redus consumul din motive de prețuri și de neîncredere în viitor, iar munca la birou a cam fost înlocuită cu munca de-acasă; - prosumatorii produc necesarul consumului propriu și chiar mai mult decât atât; sunt milioane de prosumatori, bravo lor, dar ce va fi când panourile și palele de vânt vor ajunge la momentul casării și înlocuirii, iar importul lor se va fi scumpit sau înghețat? Că nu te pui cu China când vrea să sancționeze economic Europa, nu? Oricum, minunată-i politica industrială a ne-populiștilor și a “bloc - democraților” Orban, Cîțu, Ciucă și Ciolacu.",,,,,,,,,2.93
Dragoș Bistriceanu - Pagina publică,bistriceanudragos,100063550934191,JOURNALIST,RO,"Opinii tăioase, sincere și asumate din partea unui simplu jurnalist!",2018-10-19 13:25:12,36610,91894,2023-09-19 16:05:29 EET,2023-09-19,16:05:29,Native Video,"4,746",3776,291,436,195,7,19,6,4,12,owned,Yes,53861,54622,0,00:04:05,https://www.facebook.com/100063550934191/posts/810022754459415,ATENȚIE! S-au înmulțit cei care vă dau lecții în spațiul virtual. AVEȚI GRIJĂ PE CINE URMĂRIȚI!,https://www.facebook.com/bistriceanudragos/videos/970400407366877/,,,AVEȚI GRIJĂ PE CINE URMĂRIȚI,,,,,-1
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,143845,161061,2023-09-19 19:46:25 EET,2023-09-19,19:46:25,Status,"1,801",1047,69,416,4,18,2,88,150,7,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/333464455921435,"A început: nu se vor mai face încasări în numerar fizic mai mari de 2000 de lei în magazinele cash & carry. Aceasta e cea mai nouă și cea mai secretă (până azi) măsură de austeritate fiscală din legea pe care Ciolacu își va asuma răspunderea în Parlament. Dacă nu se depune moțiune de cenzură/se respinge o moțiune de cenzură, regula intră în vigoare în trei zile de la adoptarea legii în Parlament. Noi, oamenii normali, vom fi și mai controlați și spionați, și mai suspectați. Cică e pentru prevenția evaziunii fiscale și a spălării banilor, ca și când noi am face asta, iar nu corporațiile, traficanții și platformele digitale de jocuri și plăceri. Reamintesc, totuși, că CJUE a interzis plățile exclusiv prin bănci, card sau online, considerând că plata în numerar fizic este un drept fundamental al cetățeanului european, prevăzut de Tratate - ianuarie 2021, speța Johannes Dietrich și Norbert Häring/Hessischer Rundfunk. Dacă se va trece Rubiconul cu plafonul maxim de 2000 de lei încasări în numerar fizic, calea către bancarizarea și digitalizarea totală a banilor va fi devenit o autostradă cu 5 benzi pe fiecare sens. Nimic nu le va mai opri. După aceea, libertatea economică și proprietate pot fi puse pe modul “adio și n-am cuvinte”. PS Dacă nu v-ați dat seama încă: și aceasta e o teorie a conspirației care nu trebuia emisă, căci trage enervant de mânecă somnambulii🤦🏻‍♂️.",,,,,,,,,1.28
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,143845,161061,2023-09-19 06:15:55 EET,2023-09-19,06:15:55,Status,"1,751",1458,28,232,2,13,1,11,1,5,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/333119785955902,"Scurtă teorie a conspirației (E despre ceva din 2009, adică, dinaintea erei noastre, când mai exista ceea ce, în antichitatea pre-plandemică, se numea “jurnalism”] Un articol din Wall Street Journal, care preia o știre de pe Associated Press despre un articol din Times of London relativă la o întâlnire informală de la New York dintre Gates, Buffet, Ted Turner și Oprah atrage atenția asupra unei conspirații. Așadar, două ziare mainstream și o agenție globală de știri făceau … teoria conspirației! Azi, desigur, s-au cumințit și fac vânătoare de teorii ale conspirației. Aparent, de ochii lumii, la întâlnire s-ar fi discutat despre filantropie (adică, bani de la participanți, dar mai ales de la alții, pentru a ajuta săracii și neajutorații lumii). Ce nu face Gates, de exemplu, pentru a arunca miliarde în cauze nobile (ulterior luând înapoi zeci de miliarde)? În realitate, s-ar fi discutat despre reducerea populației lumii. Gates, cică, ar fi avansat chiar și o limită maximă: fix 8,3 miliarde de persoane, nu mai mult. Ia uitați ce zicea Times of London: “the rich using their wealth to reshape mankind in its preferred image. Some are raising the specter of eugenics” Marea resetare, după chipul și asemănarea ultra-bogaților filantropi, fără ca resetații să devină ei înșiși bogați, ci captivi practicilor eugenice ale minunaților de la NY… Cică, pe atunci, stânga era vehement contra acestei idei ce ținea de eugenie. Azi, stânga neo-marxistă este antinatalistă și chiar cultivă euthanasia activă. Cultura anihilării este impusă tuturor, sub numele de diversitate, incluziune socială și “știință”. Dar cine suntem noi să contrazicem 14 ani de evoluție? E ca și când ai contrazice darwinismul… Asta e cam tot atacul la “știință” de azi. Cu smerenie, le atrag atenția factcecărilor că articolele evocate sunt încă online. Linkuri în comentarii.",,,,,,,,,1.02
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,143836,161052,2023-09-18 07:24:08 EET,2023-09-18,07:24:08,Status,"1,634",1356,43,223,4,3,0,5,0,0,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/332569609344253,"În martie 2023, 47% dintre cetățenii UE tindeau să aibă încredere în UE, în timp ce 46% tindeau să nu aibă încredere. În ultimii 4 ani s-au întâmplat o plandemie, o “revoluție” digitală, un pact verde, o criză energetică și alimentară și una identitară și este în curs de desfășure finanțat de UE și SUA. În timp, Comisia Europeană și-a luat mai multe competențe decât cele pe care i le acordă tratatele, uzurpând competențele statelor membre. Un exemplu actual este politica față de grânele americane produse ultra-chimizat și modificat genetic în Ucraina, la preț de dumping, ruinător pentru fermierii români. La probleme globale și crize în mare parte inventate, Comisia Europeană a răspuns birocratic, de neînțeles, costisitor și în mare măsură corupt. De aceea, alegerile europarlamentare de la anul devin cruciale. PS Sarcastic, europenii au mult mai puțină încredere în guvernele lor naționale: 32%. Încrederea românilor în guvern este chiar mau redusă - nici nu e de mirare, devreme ce establishmentul nostru este doar elevul silitor care se străduiește să pară inteligent și eficient, dar nu e.",,,,,,,,,-1.1
Adriana Bahmuteanu Official,,100044152373697,PERSON,RO,jurnalist si psiholog,2015-02-03 20:44:57,241714,290950,2023-09-18 21:41:23 EET,2023-09-18,21:41:23,Live Video Complete,"1,376",867,223,122,138,5,7,0,11,3,owned,Yes,20895,21441,0,00:47:34,https://www.facebook.com/100044152373697/posts/270127992562667,"Carmen Harra, previziuni sumbre !!!! Criza economica se adâncește, apare un nou carcalac ce va afecta omenirea!!!",https://www.facebook.com/100044152373697/videos/270127992562667/,,,"Carmen Harra, previziuni sumbre!",,,,,1.61
Radio Gold FM Romania,radiogoldfmromania,100063623349419,RADIO_STATION,RO,Radio Gold FM Romania. Va asteptam pe frecventa 96.9FM,2011-10-28 11:05:16,48201,68573,2023-09-18 11:59:47 EET,2023-09-18,11:59:47,Live Video Complete,"1,147",503,481,60,82,1,3,1,4,12,owned,Yes,7574,7667,0,02:14:22,https://www.facebook.com/100063623349419/posts/2021518394895377,"18.09.2023 - ”Ce-i în Gușă, și-n căpușă” - cu Cozmin Gușă",https://www.facebook.com/radiogoldfmromania/videos/2021518394895377/,,,"18.09.2023 - ”Ce-i în Gușă, și-n căpușă” - cu Cozmin Gușă",,,,,2.61
