Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Cozmin Gusa,cozminhoreagusa,100063303756078,PERSON,RO,Cozmin Gusa - Pagina Oficiala,2019-09-12 14:11:16,50148,104256,2023-08-24 13:53:03 EET,2023-08-24,13:53:03,Status,779,618,38,100,5,6,9,1,0,2,,-,0,0,0,N/A,https://www.facebook.com/100063303756078/posts/622507959869324,"Gușă: BRICS preia conducerea lumii prin noua extindere, dar Putin e cam “nesimțit”, n-a pomenit în discurs LGBT-ismul și vaccinismul! (transcrierea editorialului vorbit din emisiunea “Ce-i în Gușă, și-n căpușă!”, de la GOLD FM) Autor: Cozmin Gușă Am o notă ironică în această scurtă analiză despre viitorul lumii, tocmai pentru ca să nu fie atât de amar hapul pe care o să-l înghițim noi, ca români, și lumea occidentală per ansamblu, pentru că începând din această după-amiază și de mâine o să-i fie clar întregii lumi că BRICS devine organizația unghiulară care va decide în primul rând în domeniul economico-financiar și apoi ușor va deveni evidentă și superioritatea militară, ambele în fața blocului euroatlantic, care se află într-o puternică regresie. Astăzi se va lua decizia de extindere a acestei organizații, care grupează Brazilia, Rusia, India, China și Africa de Sud, de aici acronimul BRICS, iar această extindere este speculată, în funcție de sursă, că se va face cu niște țări foarte puternice, un minimum de cinci țări, numitorul comun al acestei extinderi fiind nominalizat cam așa: din America de Sud va veni în organizație Argentina, din Asia vor veni, se pare, mai multe țări, se pare că și Kazahstanul, dar se discută în continuare, în orice caz Arabia Saudită este acolo, dar dacă vor fi și Emiratele Arabe Unite, atunci deja este o mare, mare problemă pentru americani; se vorbește și de Indonezia, dar în același timp se pune pe această hartă și Algeria și, mai grav decât atât, Egiptul, mai grav pentru noi, pentru partea euroatlantică. Probabil că 5 din aceste 7-8 țări pe care vi le-am enumerat vor fi agregate astăzi în structura BRICS. Oricum ar fi, trebuie să vedeți că sunt țări care au decizie unghiulară în geoeconomia, respectiv geopolitica continentelor respective, dar și a lumii. Fiecare vine în interiorul BRICS cu câte un mare avantaj, de la capital financiar dacă vorbim de Emiratele Arabe sau Indonezia, până la resurse importante cum au Kazahstanul sau Argentina, nu mai vorbesc despre Arabia Saudită și Algeria care excelează la capitolul petrol, respectiv gaze. Așadar e limpede că acolo, această organizație se întărește, ea fiind deja oricum superioară ca potențial economic grupului G7. De astăzi, prieteni, marcați că această lume mult visată a noastră, lumea euroatlantică devine piua a doua, cum se spune. Asta-i „șansa” noastră: când ajungem în câte o organizație, organizația aia se cam duce la fund. Ce-am cu Putin? N-am nimic. Era un cuvânt de apreciere pentru discursul său excepțional, publicat astăzi pe Solid News, pe care l-a ținut în principal în fața celorlalți 4 lideri ai BRICS, ai Braziliei, Chinei, Indiei și Africii de Sud, în care Putin vorbește în mod responsabil despre pace, culmea, resurse, bunăstare, cultură, civilizație, învățământ, religie și aici vine partea ironică: nu spune, dom’le, nimic de LGBT-ism sau vaccinism, adică nu spune cum s-ar salva planeta asta prin LGBT-ism, vaccinism, și nimic despre climatism. Asta era partea ironică, e cam amară, luați-o așa și bazați-vă că în zilele următoare veți afla toate detaliile despre felul în care se reorganizează lumea; nu ne include și pe noi, asta să fiți siguri. Asta poate să vă dea liniște, în sensul că nu o să fie mutații profunde în România, dar nu bucurie, pentru că nu suntem plasați în zona care se va dezvolta în perioada următoare.",,,,,,,,,1.93
Mihail Neamțu,mihailgeorgeneamtu,1081823837,,,,,83884,N/A,2023-08-25 07:26:41 EET,2023-08-25,07:26:41,Photo,766,515,105,65,51,3,20,2,1,4,,-,0,0,0,N/A,https://www.facebook.com/mihailgeorgeneamtu/posts/10225998072233344,"Cu ce a greșit Trump? A privit prea mult spre Statuia libertății, căutând să țină aprinsă flacăra visului american. Apoi, hoardele Stângii radicale au venit s-o stingă. Donald Trump a fost arestat. Avocații l-au eliberat, desigur, pe cauțiune. Cel mai iubit și cel mai detestat politician american din ultima sută de ani. Cel mai des intervievat și fotografiat om de pe planetă. Un mare patriot persecutat de rețeaua globalistă. Cu toate calitățile și defectele unui personaj public, Donald J. Trump a întrupat spiritul unei mișcări animate de visul libertății. Un businessman excentric a scos la iveală corupția morală și degradarea spirituală a nomenklaturii din Washington D.C. Ce-a spus Trump? Că ideologia neomarxistă distruge țesutul social al oricărei țări creștine. Că sentimentele patriotice sunt naturale și lăudabile. Că sufletul uman caută mereu excelența, demnitatea sau măreția. Ca om de afaceri, Donald Trump a depășit orizontul limitat al unor birocrați pricepuți doar să îngroape visul și să stingă flacăra speranței. Ca om politic, Donald Trump a mizat pe forța celor care iubesc spiritul libertății și competiția deschisă, fie că vorbim despre sport, științe, arte, industrie, filozofie, literatură ori spiritualitate. În 2016, victoria lui Donald Trump s-a datorat acelor „deplorabili” care n-au acceptat uciderea visului american sub loviturile de cuțit ale ingineriilor sociale. Nu știm ce va fi-n 2024. Fiecare om are propria lui chemare. Uneori, vocația e un hobby, alteori o profesie, însă întotdeauna exprimă o iubire. Dragostea de o viață a lui Donald Trump a fost, este și va fi America. Chiar și dincolo de gratii.",https://www.facebook.com/photo.php?fbid=10225998025112166&set=a.2243256875879&type=3,,,,,,,,1.24
Cezar Ionascu,CezarIonascuRO,100066813237286,ACTIVITY_GENERAL,RO,koji.to/@cezarionascu,2017-10-17 23:44:42,64669,149173,2023-08-24 07:12:03 EET,2023-08-24,07:12:03,Photo,581,343,29,67,4,5,130,1,1,1,,-,0,0,0,N/A,https://www.facebook.com/100066813237286/posts/636864301884005,,https://www.facebook.com/photo.php?fbid=636864271884008&set=a.590423993194703&type=3,,"ERIN zeita discordiei in mitologie), noua ""forma"" de €ovid, anuntata oficial. Se imbolnavesc doar cei cu IQ sub 75. Tu? Z",,,,,,1.68
Cozmin Gusa,cozminhoreagusa,100063303756078,PERSON,RO,Cozmin Gusa - Pagina Oficiala,2019-09-12 14:11:16,50148,104256,2023-08-24 09:00:07 EET,2023-08-24,09:00:07,Status,564,474,43,42,1,1,2,1,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063303756078/posts/622421116544675,"Gușă: Moartea lui Prigojin și a liderilor Wagner are legătură cu ofensiva rusească din Africa. Trei ipoteze, dar autorii crimei se vor pierde în ceața războiului ucrainean! Prigojin și Utkin, împreună cu alți lideri Wagner, au decedat aseară în urma prăbușirii unui avion, asupra căruia există indicii clare că s-a tras sau a fost dinamitat de la bord. Deoarece evenimentul s-a petrecut pe teritoriul Rusiei se lasă loc speculațiilor despre autorii crimelor. În logica așa-zisei revolte de-acum două luni a lui Prigojin, îndreptată împotriva liderilor armatei ruse, prima ipoteză l-ar indica pe Putin ca fiind cel ce-a coordonat lovitura, de acest lucru încearcă să ne convingă SUA și Ucraina. Tot în această linie de raționament pot fi însă suspecți chiar cei împotriva cărora Prigojin s-a răsculat, respectiv generalii de la vârful Ministerului Apărării din Rusia, dar această ipoteză nu e susținută de nimeni deocamdată, se poate bănui lesne de ce. Cunoașteți părerea mea conform căreia revolta Wagner din iunie a fost una mimată, cu acordul lui Putin, iar evenimentele ulterioare confirmau până acum acest lucru, Prigojin fiind iertat mult prea ușor, trimis în Belarusul aliatului Lukașenko, făcându-și apoi apariția alături de liderii africani doritori de sprijin militar Wagner, mijlocit însă de Rusia și Putin (”Țarul, valetul și bucătarul”, adaptare după “Sultanul și lovitura de stat”, piesă jucată acum 7 ani în Turcia. Care e totuși situația reală și de ce se teme Putin? - Solid News). Chiar și-așa, e posibil ca Putin să fi fost incomodat de posibilitățile de șantaj ale lui Prigojin asupra sa și să fi hotărât eliminarea acestuia. În acest caz însă nu se justifică și moartea celorlalți lideri ai Wagner, mai ales a lui Dmitri Utkin, pe care Putin s-a bazat mereu și își baza și noua ofensivă din Africa, unde Rusia nu poate deplasa trupe regulate, ci folosește această armată plătită. De ce ar fi lăsat-o fără lideri, în condițiile în care dacă vroia să-l elimine doar pe Prigojin putea s-o facă individualizat, simplu și operativ, în Africa sau oriunde în lume, dar nu în Rusia? Aici logica occidentală, promovată mai ales de către Joe Biden, devine șchioapă, și deschide ipoteza unui atentat al inamicilor Rusiei asupra avionului cu care se deplasau liderii Wagner, putând lua în calcul și ceea ce spuneam mai sus despre generalii ruși incomodați de către Prigojin și-ai săi. Oricum ar fi, moartea liderilor Wagner incomodează în primul rând Rusia care, chiar cu ocazia summitului BRICS ce se încheie azi, negocia cu aliații și țările africane felul în care vor contrabalansa pe teren trupele franceze sau americane ce păzesc/apără exploatarea de resurse din multe zone, inclusiv Nigerul aflat azi în dispută, iar cei mandatați cu reprezentarea militară rusă sunt chiar militarii din trupele Wagner. Dacă judecăm așa evenimentele, e limpede că nu putem exclude forțe occidentale ce-ar fi lovit avionul lui Prigojin&Company, punându-l în mare dificultate pe Putin, defectând grav mecanismul de comandă al Wagner pentru operațiunile curente din Africa. În acest caz în Rusia sună deja alarma roșie, pentru că doborârea unui avion pe teritoriu rusesc arată o mare vulnerabilitate a securității sale naționale, indiferent dacă s-a tras de la sol, din aer, sau dacă pe aeroportul din Moscova a fost plasată o bombă la bordul avionului Wagner. Urmărind mai degrabă represaliile consecutive generate de Putin, și mai puțin declarațiile ce vor fi contrabalansate de propaganda circulară, vom putea pricepe începând de azi cauzele, dar mai ales consecințele atentatului. Cozmin Gușă",,,,,,,,,1.4
Radio Gold FM Romania,radiogoldfmromania,100063623349419,RADIO_STATION,RO,Radio Gold FM Romania. Va asteptam pe frecventa 96.9FM,2011-10-28 11:05:16,47740,68151,2023-08-24 15:01:42 EET,2023-08-24,15:01:42,Live Video Complete,565,173,115,234,40,1,0,0,0,2,owned,Yes,1689,3583,0,00:55:50,https://www.facebook.com/100063623349419/posts/870497334497873,"24.08.2023 - ""Scamatoriile Iosefinei"" - cu Iosefina Pascal",https://www.facebook.com/radiogoldfmromania/videos/870497334497873/,,,"24.08.2023 - ""Scamatoriile Iosefinei"" - cu Iosefina Pascal",,,,,1.15
Radio Gold FM Romania,radiogoldfmromania,100063623349419,RADIO_STATION,RO,Radio Gold FM Romania. Va asteptam pe frecventa 96.9FM,2011-10-28 11:05:16,47770,68176,2023-08-25 12:00:20 EET,2023-08-25,12:00:20,Live Video Complete,515,191,273,21,22,0,6,0,1,1,owned,Yes,3612,3679,0,02:16:34,https://www.facebook.com/100063623349419/posts/310119328209547,"25.08.2023 - ""Dincolo de propagandă"" - cu Andrei Gușă",https://www.facebook.com/radiogoldfmromania/videos/310119328209547/,,,"25.08.2023 - ""Dincolo de propagandă"" - cu Andrei Gușă",,,,,1.05
Oana-Elena Lovin,OanaLov369,100053585390813,COMEDIAN,RO,Să râdem ca să nu plângem,2019-11-29 11:49:44,50663,80918,2023-08-26 21:54:23 EET,2023-08-26,21:54:23,Status,441,271,49,27,5,3,71,7,7,1,,-,0,0,0,N/A,https://www.facebook.com/100053585390813/posts/822051246257714,Ce bine că Vlăduț Voiculescu a făcut locuri noi la secția de arși și nu filme artistice🐒,,,,,,,,,-2.55
ActiveNews,activenewsro,100063785333040,NEWS_SITE,RO,Follow us on https://t.me/activenewsro. ActiveNews este un site de informații și știri necenzurat,2013-10-13 22:01:30,89857,91368,2023-08-27 16:58:03 EET,2023-08-27,16:58:03,Link,417,149,48,102,0,3,2,58,54,1,,-,0,0,0,N/A,https://www.facebook.com/100063785333040/posts/760171436119027,"Pompierii au fost trimiși la moarte prin incinerare. Minciunile criminale ale autorităților. O nouă operațiune tip Colectiv, cu același comandant de platou recte #Arafat?",https://www.activenews.ro/opinii/Pompierii-au-fost-trimisi-la-moarte-prin-incinerare.-Minciunile-criminale-ale-autoritatilor.-O-noua-operatiune-tip-Colectiv-cu-acelasi-comandant-de-platou-183978,,,"Pompierii au fost trimiși la moarte prin incinerare. Minciunile criminale ale autorităților. O nouă operațiune tip Colectiv, cu același comandant de platou?","La Crevedia Pompierii au fost trimiși la moarte. Nu este umbră de îndoială. Dincolo de faptul că acțiunea de la Stația GPL care a sărit în aer a pornit la o oră de la prima explozie, ...",,,,8.51
Cozmin Gusa,cozminhoreagusa,100063303756078,PERSON,RO,Cozmin Gusa - Pagina Oficiala,2019-09-12 14:11:16,50148,104256,2023-08-24 10:15:00 EET,2023-08-24,10:15:00,Link,409,341,21,33,7,0,4,0,0,3,,-,0,0,0,N/A,https://www.facebook.com/100063303756078/posts/622440053209448,"Discursul integral al lui Putin la BRICS în fața celorlalți 4 președinți de țări. Rusia va deține președinția BRICS în 2024! “(…) Rusia a decis să se alăture oamenilor care luptă pentru cultura lor, pentru tradițiile, limba și viitorul lor. Oprirea războiului dezlănțuit de Occident și sateliții săi din Ucraina împotriva oamenilor din Donbass sunt singurele lucruri care definesc acțiunile noastre în Ucraina. Suntem recunoscători colegilor noștri BRICS care sunt activi în încercarea de a pune capăt acestei situații și de a realiza o soluționare justă prin mijloace pașnice. Colegi, ceea ce contează este că toți suntem în unanimitate în favoarea unei ordini mondiale multipolare, care să fie cu adevărat corectă și bazată pe dreptul internațional.” ",https://solidnews.ro/parteneri/2023/08/24/discursul-integral-al-lui-putin-la-brics-in-fata-celorlalti-4-presedinti/?amp,https://solidnews.ro/parteneri/2023/08/24/discursul-integral-al-lui-putin-la-brics-in-fata-celorlalti-4-presedinti/,,Discursul integral al lui Putin la BRICS în fața celorlalți 4 președinți - Solid News,"Președintele Africii de Sud Cyril Ramaphosa, președintele Rusiei Vladimir Putin (prin videoconferință), președintele Braziliei Luiz Inacio Lula da Silva, prim-ministrul Indiei Narendra Modi și președintele Republicii Populare Chineze Xi Jinping au organizat o întâlnire de format extins. Tem...",,,,2.16
Iulian Capsali,iulian.capsali,100050173613486,PERSON,RO,"Biserica, Familia şi Țara. ",2014-04-14 09:07:40,23122,26953,2023-08-24 13:50:22 EET,2023-08-24,13:50:22,Status,359,263,30,19,3,2,40,0,0,2,,-,0,0,0,N/A,https://www.facebook.com/100050173613486/posts/845504970465282,"MINTE CU DOP Una din micile mele plăceri de vacanță este să rup enervantul fir care leagă capacul de sticla de plastic. Găsesc că este tot atât de nefiresc ca un fir ce ar lega hârtia igienică de closet, sau pe Biden de Biroul Oval. În fine, la Casa Albă ar avea ceva sens, că tataie se poate pierde prin subsol. Dar să legi dopul de sticlă ține de imbecilitatea cea mai tristă care demonstrează - a câtă oară? - faptul că UE este deja un epitom al decăderii civilizației.",,,,,,,,,-1.67
Cezar Ionascu,CezarIonascuRO,100066813237286,ACTIVITY_GENERAL,RO,koji.to/@cezarionascu,2017-10-17 23:44:42,64669,149173,2023-08-24 08:30:57 EET,2023-08-24,08:30:57,Native Video,305,184,35,46,21,0,16,1,2,0,owned,Yes,5184,5760,0,00:00:07,https://www.facebook.com/100066813237286/posts/636885945215174,Ce nu iarta niciodata un barbat normal la cap? TRADAREA.,https://www.facebook.com/CezarIonascuRO/videos/6759843954054590/,,,,,,,,-3.19
Cozmin Gusa,cozminhoreagusa,100063303756078,PERSON,RO,Cozmin Gusa - Pagina Oficiala,2019-09-12 14:11:16,50178,104402,2023-08-26 21:56:17 EET,2023-08-26,21:56:17,Photo,299,185,41,58,2,1,7,2,2,1,,-,0,0,0,N/A,https://www.facebook.com/100063303756078/posts/623543926432394,"Poza NOII LUMI dominată de către BRICS! Poza arată în mod sintetic că lumea s-a schimbat, în defavoarea blocului euro-atlantic/ G7. Cifrele sunt la zi, cu specificația că trendurile sunt pozitive la BRICS, respectiv negative la NATO-UE-G7. Lumea “noastră”, ce era pe primul loc (ăsta fiind și motivul pentru care noi românii am tânjit atât de mult să ne integrăm), “fuse, fuse, și se duse”! Motivele nu-s complexe deloc, țin de lăcomie, minciună, neglijarea educației și a creștinismului, respectiv de discriminarea pozitivă a minorităților, implementând, printre altele, LGBT-ismul ca politică de stat în zona euroatlantică. Vom comenta pe larg la GOLD FM!",https://www.facebook.com/photo.php?fbid=623543906432396&set=a.384763180310471&type=3,,,,,,,,-2.2
Cozmin Gusa,cozminhoreagusa,100063303756078,PERSON,RO,Cozmin Gusa - Pagina Oficiala,2019-09-12 14:11:16,50192,104485,2023-08-27 09:26:31 EET,2023-08-27,09:26:31,Photo,275,156,12,51,0,6,43,4,3,0,,-,0,0,0,N/A,https://www.facebook.com/100063303756078/posts/623739139746206,,https://www.facebook.com/photo.php?fbid=623739119746208&set=a.384763180310471&type=3,,"""La europarlamentarele din 2024, PSD, PNL, USR, vor fi obligate să aibă minoritari pe liste, la UDMR nu mai cazul că sunt toți deja. Ce e sigur este că pe listele acestor partide vor fi și politicieni LGBT iști, inclusiv homo- și bisexuali practicanți. Va fi interesant să-iidentificăm!"" Cozmin Gușă",,,,,,-2.4
