Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,412084,669969,2023-08-29 10:00:57 EET,2023-08-29,10:00:57,Live Video Complete,"19,860",11560,2182,4174,1672,34,56,61,45,76,owned,Yes,196506,216563,0,01:18:16,https://www.facebook.com/100044414259997/posts/1685488235288471,"EMISIUNEA EXTRAORDINARA, LIDER DE AUDIENTA, ASEARA: DIANA SOSOACA, LUIS LAZARUS, G. VISAN, O. ZARA SI M. N. STOIAN! MODERATOR ANCA ALEXANDRESCU!",https://www.facebook.com/LuisLazarusZeusTV/videos/1685488235288471/,,,"EMISIUNEA EXTRAORDINARA, LIDER DE AUDIENTA, ASEARA: DIANA SOSOACA, LUIS LAZARUS, G. VISAN, O. ZARA SI M. N. STOIAN! MODERATOR ANCA ALEXANDRESCU!",,,,,1.71
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,413744,671594,2023-08-30 19:49:15 EET,2023-08-30,19:49:15,Live Video Complete,"11,425",5212,3255,2035,825,12,17,32,12,25,owned,Yes,81269,91238,0,02:12:58,https://www.facebook.com/100044414259997/posts/271774149083707,Socant! Marius Tudor și Oana Lovin despre toate nenorocirile din jurul nostru! Către ce se îndreaptă România?,https://www.facebook.com/LuisLazarusZeusTV/videos/271774149083707/,,,Marius Tudor și Oana Lovin despre toate nenorocirile din jurul nostru!Către ce se îndreaptă România?,,,,,1.17
Cezar Ionascu,CezarIonascuRO,100066813237286,ACTIVITY_GENERAL,RO,koji.to/@cezarionascu,2017-10-17 23:44:42,65172,150844,2023-08-29 07:29:53 EET,2023-08-29,07:29:53,Native Video,"8,260",5993,257,1887,60,6,9,27,15,6,owned,Yes,82082,88089,0,00:00:54,https://www.facebook.com/100066813237286/posts/639395504964218,“Piata libera” vs. oameni flamanzi.,https://www.facebook.com/CezarIonascuRO/videos/541708224761383/,,,,,,,,10.42
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,142993,160211,2023-08-30 20:49:55 EET,2023-08-30,20:49:55,Native Video,"6,736",3699,366,1861,13,90,21,158,511,17,owned,Yes,34861,44647,0,00:01:34,https://www.facebook.com/100077736491457/posts/322353657032515,Întrerupem acest program pentru …,https://www.facebook.com/gheorghe.piperea/videos/574405671572605/,,,,,,,,5.53
Cozmin Gusa,cozminhoreagusa,100063303756078,PERSON,RO,Cozmin Gusa - Pagina Oficiala,2019-09-12 14:11:16,50202,104575,2023-08-28 13:21:48 EET,2023-08-28,13:21:48,Native Video,"4,342",2981,660,525,33,24,47,16,48,8,owned,Yes,82554,84201,0,00:06:07,https://www.facebook.com/100063303756078/posts/624259459694174,,https://www.facebook.com/cozminhoreagusa/videos/256745257252208/,,,,,,,,1.5
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,8403,28753,2023-08-28 16:39:05 EET,2023-08-28,16:39:05,Live Video Complete,"3,403",2042,673,460,185,3,4,22,2,12,owned,Yes,11950,15067,0,00:39:44,https://www.facebook.com/100085495329227/posts/1419236491968375,"A ajuns să sacrifice chiar și pompieri? Ar*f*t, judecat, pentru sângele vărsat!",https://www.facebook.com/100085495329227/videos/1419236491968375/,,,"A ajuns să sacrifice chiar și pompieri? Ar*f*t, judecat, pentru sângele vărsat!",,,,,1.98
Cozmin Gusa,cozminhoreagusa,100063303756078,PERSON,RO,Cozmin Gusa - Pagina Oficiala,2019-09-12 14:11:16,50243,104824,2023-08-30 12:36:06 EET,2023-08-30,12:36:06,Photo,"2,807",1374,208,615,6,17,21,502,50,14,,-,0,0,0,N/A,https://www.facebook.com/100063303756078/posts/625133419606778,,https://www.facebook.com/photo.php?fbid=625133406273446&set=a.384763180310471&type=3,,"Efectul. „ROMÂNIA EDUCATĂ"" În Socialism În democrație",,,,,,4.25
Iosefina Iosefina Pascal,IosefinaIosefinaPascal,100063953040074,NEWS_SITE,RO,"NU mor Iosefinele, cand vor cainii",2019-04-25 16:10:49,82961,92798,2023-08-29 19:39:06 EET,2023-08-29,19:39:06,Native Video,"2,130",1549,87,407,44,11,0,15,14,3,owned,Yes,16942,18365,0,00:15:00,https://www.facebook.com/100063953040074/posts/736177458524016,"Întâiul Pacient al țării, combaterea traficului de droguri vs combaterea carcalacului, pedepse ușoare pentru criminali.",https://www.facebook.com/IosefinaIosefinaPascal/videos/313861761162969/,,,,,,,,1.19
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,142992,160213,2023-08-29 16:27:04 EET,2023-08-29,16:27:04,Status,"1,968",1425,52,449,13,6,0,19,1,3,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/321748850426329,"Polarizarea socială, circulația elitelor și statul paralel Preambul Sunt două tipuri de întrebări obsedante și pline de obidă care ne muncesc mințile și sufletele cu ocazia fiecărei noi catastrofe care depășește în tragism și absurditate dezastrul imediat anterior. Pe scurt, iată-le: de ce ei nu pățesc niciodată nimic? de ce noi, în schimb, suntem vinovați fără vină sau măcar suspecți? Pe larg, iată-le: (i) cum este posibil ca, pentru ilegalități atât de fățișe, comise parcă (a) în disprețul armatelor de organe de control și al redundantelor autorități plătite regește din bani publici, (b) sfidând eticheta de cea mai „transparentă” și mai „informată” dintre lumi și (c) batjocorind „ordinea liberală bazată pe reguli”, infractorii, criminalii, drogații și chiar nătărăii care, din incompetență crasă, aruncă în aer bugete naționale, spitale sau depozite de carburant, reușesc mereu să scape nepedepsiți și nevătămați? (ii) cum e posibil ca, în timp ce noi, toți ceilalți, am ajuns să fim suspectați, controlați, executați silit, carantinați și spionați permanent, o întreagă pletoră de corupți, de prestatori de servicii infracționale și de cocalari reușesc să își blureze identitatea și să își dilueze vina în mulțime, fiind mereu beneficiari ai imunității de răspunderea juridică, morală sau politică? Explicația simplificată* se rezumă la două atribute ale lumii subterane și ale statului profund: stabilitatea și predictibilitatea. Stabilitatea ... Rețelele mafiotice de sens se aglutinează în timp, deci necesită stabilitate. Este nevoie de lideri interminabili, transformați în idoli (falși, desigur, dar care dau bine pe soclu) aureolați cu mitul invincibilității și al infailibilității. Cu astfel de ancore, locotenenții și consilierii dobândesc gravitație, atrăgând fluxurile de numerar, oportunități și resurse. Devin rapid dispeceri de bani și, deci, noduri indispensabile în rețeaua mafiotică de sens. Isărescu nu poate fi schimbat de nimeni și nu poate greși. La fel și Arafat. Locotenenții și consilierii lor, ONG – urile, smurd-urile, presa și influencerii care se alimentează de la fluxul de grăunțe aruncate de statuile vii ale rețelelor, ba chiar ambasadele și instituțiile financiare sau politice internaționale la care sunt mufate zisele statui vii reprezintă exoscheletul care îi fac aproape inexpugnabili pe toți membrii rețelei. Predictibilitatea... Pentru rețea, să crezi că: (i) dacă pleci din punctul A, după ce achiți tichetul (în bani, natură sau libertate) și (ii) respecți șoferul, atunci (iii) vei ajunge cu siguranță în punctul B, unde vei putea bea șampanie cu roaba și poți consuma liniștit iarbă și prafuri de calitate, este o regulă sfântă. Fluxurile de bani și resurse, administrația, diplomația (relațiile cu rețelele paralele, concurente sau rivale) sunt precise și de nezdruncinat. Afacerile, politicile, trendurile sociologice sau culturale – toate se derulează aproape exclusiv în rețea. Așa-numitele „externalități” sunt fie rarități exotice sau excentrice, fie probe falsificate, de fațadă, ale caracterului concurențial și liberal al activității. De exemplu, achizițiile publice nu se câștigă – ele se încredințează. În ultimii 20 de ani, jumătate din achizițiile publice ale României au luat căi corupte. Vorbim de peste 500 de miliarde de euro. Nimic nu a ieșit din rețea către concurenți neaveniți. Dacă membrul rețelei a plătit, el își va fi recuperat înzecit investiția, în vreun fel sau altul. Asta înseamnă sfânta predictibilitate. Imunitatea și convingerea că membrul rețelei este implacabil... Chiar dacă „afacerea” este criminală, membrul rețelei va fi apărat de răspundere, atât prin intervenții directe în administrație și justiție, cât și prin conspirația tăcerii (cunoașteți acest fenomen mai ales sub numele de omerta). Pentru a salva aparențele, din când în când, un țap ispășitor este aruncat la lei sau obligat să ia asupra sa toate crimele. Ca să fie ușor de înțeles, luați exemplul lui Nelu Iordache sau exemplul lui Sebastian Ghiță - unul ispășește, altul se ascunde în Serbia, ca să nu ispășească. Iată explicația simplă, frustrantă, a fenomenului infracțional care se extinde ca o pecingine în lumea noastră**. Este un fenomen care nu generează aproape deloc pușcărie, nici faliment și nici excomunicare a delincvenților. Circulația elitelor sau a etichetelor în rețea nu subminează rețeaua, ci conduce la cimentarea relațiilor și a încrederii în cercul din jurul idolilor eternizați pe post ai sistemului, la cultivarea conștiinței faptului că mafiotului, mic sau mare, nu i se poate întâmpla nimic în rețea, pentru că are o imunitatea totală și interminabilă, atribut pe care și-l procură în schimbul cotizației la sistem (cu excepția țapilor ispășitori, care fac parte din joc). Stabilitatea și predictibilitatea rețelelor mafiotice de sens vor perpetua la nesfârșit acest fenomen. Fenomenul nu va fi oprit prin execuția publică, la tv, a sărăntocilor rețelei, care au avut neșansa de a trage paiul scurt al (truncated)",,,,,,,,,1.21
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,8426,28785,2023-08-30 14:04:37 EET,2023-08-30,14:04:37,Live Video Complete,"1,715",1031,220,312,140,1,0,1,3,7,owned,Yes,8249,8729,0,00:31:29,https://www.facebook.com/100085495329227/posts/1154048161981807,Global News - 30 aug 2023 * Rafila vrea ore de educație sanitară în școli * Electrica a fost pusă la punct de un brav cetățean,https://www.facebook.com/100085495329227/videos/1154048161981807/,,,Global News - 30 aug 2023,,,,,1.07
