Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,425701,683085,2023-09-21 20:47:45 EET,2023-09-21,20:47:45,Live Video Complete,"14,809",6580,4261,2769,1053,23,25,26,22,50,owned,Yes,121849,137074,0,02:06:24,https://www.facebook.com/100044414259997/posts/3554595334869110,"LAURENTIU PRIMO, MARIUS TUDOR SI HORIA CONSTANTINESCU, SEFUL ANPC, DEZVALUIRI SOCANTE DESPRE URMATOARELE EVENIMENTE SI DE CE L-A INCHIS PE PESCOBAR!",https://www.facebook.com/LuisLazarusZeusTV/videos/3554595334869110/,,,"LAURENTIU PRIMO, MARIUS TUDOR SI H CONSTANTINESCU DEZVALUIRI SOCANTE DESPRE URMATOARELE EVENIMENTE!",,,,,1.14
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,143917,161138,2023-09-22 08:25:49 EET,2023-09-22,08:25:49,Native Video,"10,045",5716,495,3379,39,104,23,105,151,33,owned,Yes,76508,95140,0,00:03:01,https://www.facebook.com/100077736491457/posts/334778679123346,"CJUE interzice statelor membre să interzică sau să limiteze plățile în bani fizici. De aceea, legea lui Boloș & Ciolacu de care ne vom lovi din octombrie 2023, lege care stabilește un plafon maxim de încasări de 1000 de lei pe zi pe persoană este categoric contrară TFUE și Constituției. Priviți:",https://www.facebook.com/gheorghe.piperea/videos/1030761898080371/,,,,,,,,5.5
Oana-Elena Lovin,OanaLov369,100053585390813,COMEDIAN,RO,Să râdem ca să nu plângem,2019-11-29 11:49:44,50627,80880,2023-09-21 17:03:10 EET,2023-09-21,17:03:10,Live Video Complete,"8,890",4348,1747,1848,657,59,86,61,50,34,owned,Yes,154124,183049,0,00:07:01,https://www.facebook.com/100053585390813/posts/6922726727745614,"Cadou de ziua lui Simion: Certificatul medico legal care atestă violul minorei la școala de vară AUR, de către adepții AUR. Mai multe informații veți avea de la 19:00 la “ În umbra știrilor”, pe Metropola TV, alături de Rafaelo Varga .",https://www.facebook.com/OanaLov369/videos/6922726727745614/,,,,,,,,5.61
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,426350,683711,2023-09-24 19:56:02 EET,2023-09-24,19:56:02,Live Video Complete,"7,169",1878,2785,1903,546,9,7,1,6,34,owned,Yes,27751,35774,0,03:20:23,https://www.facebook.com/100044414259997/posts/824955725968337,"DIANA SOSOACA, SEN MARINESCU SI JURNALISTUL I. SPANU DESPRE ISTORIA SPAGILOR DIN ROMANIA SI PRIMELE REACTII, LA CALD, ALE DIANEI SOSOACA, PRIVIND FAPTUL CA PARTIDUL EI, ""SOS ROMANIA"", A DEPASIT PRAGUL DE INTRARE IN PARLAMENT!!! SOS A AJUNS LA 5%!!! SE CONTUREAZA, DEJA, VICTORIA SOS, IN ALEGERILE DIN 2024! AUR A INTRAT PE O LINIE DESCENDENTA, A SCAZUT LA 18%!",https://www.facebook.com/LuisLazarusZeusTV/videos/824955725968337/,,,"DIANA SOSOACA, SEN MARINESCU SI JURNALISTUL I. SPANU DESPRE ISTORIA SPAGILOR DIN ROMANIA SI PRIMELE REACTII, LA CALD, ALE DIANEI SOSOACA PRIVIND FAPTUL CA PARTIDUL EI, SOS ROMANIA A DEPASIT PRAGUL DE INTRARE IN PARLAMENT!!! SOS A AJUNS LA 5%!!!",,,,,-1.61
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,8575,29082,2023-09-22 17:04:38 EET,2023-09-22,17:04:38,Live Video Complete,"5,382",2461,775,1838,223,16,10,24,20,15,owned,Yes,17373,26937,0,01:06:52,https://www.facebook.com/100085495329227/posts/292029650206600,"PSD și PNL vor să ne limiteze — la propriu — felul în care dispunem de banii noștri (CASH-ul, cașcavaletele, marafeții, biștarii)? Încă o conspirație realizată?",https://www.facebook.com/100085495329227/videos/292029650206600/,,,"Vor să vă ia numerarul (CASH-ul, cașcavaletele, marafeții, biștarii), încă o conspirație realizată",,,,,3.24
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,425942,683320,2023-09-22 10:50:53 EET,2023-09-22,10:50:53,Live Video Complete,"5,133",2971,819,907,355,13,20,12,21,15,owned,Yes,76338,81066,0,00:46:27,https://www.facebook.com/100044414259997/posts/815330830339401,EMISIUNEA SPECIALA A ANCAI ALEXANDRESCU! M-AM INTERSECTAT CU SIMION! VEDETI CE A IESIT!,https://www.facebook.com/LuisLazarusZeusTV/videos/815330830339401/,,,EMISIUNEA SPECIALA A ANCAI ALEXANDRESCU! M-AM INTERSECTAT CU SIMION! VEDETI CE A IESIT!,,,,,-2.51
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,8584,29109,2023-09-23 12:06:25 EET,2023-09-23,12:06:25,Live Video Complete,"2,439",1209,681,367,164,5,2,3,4,4,owned,Yes,11909,13658,0,01:14:05,https://www.facebook.com/100085495329227/posts/798415012034340,Aurelian.RO@Bahmu Official & Cetateanul - 23 sep 2023,https://www.facebook.com/100085495329227/videos/798415012034340/,,,Aurelian.RO@Bahmu Official & Cetateanul - 23 sep 2023,,,,,1.48
Oana-Elena Lovin,OanaLov369,100053585390813,COMEDIAN,RO,Să râdem ca să nu plângem,2019-11-29 11:49:44,50627,80880,2023-09-21 13:23:40 EET,2023-09-21,13:23:40,Photo,"2,432",1536,396,275,151,16,33,8,13,4,,-,0,0,0,N/A,https://www.facebook.com/100053585390813/posts/835370641592441,"LMA Simioane! De ziua ta, îți doresc să ai soarta minerilor din Valea Jilului cărora și tu le-ai închis minele și ca sistemul să îți facă ce i-au făcut adepții tăi, copilei de 17 ani, la școala de vară AUR de la Constanța!",https://www.facebook.com/photo.php?fbid=835370618259110&set=a.290648139398030&type=3,,"România TV .net OHE LIVE STREAMING 29 sept. 2022 Oana Lovin, dezlă dezlănțuită la adresa lui George Simion, după ce AUR a votat închiderea minelor Lonea și Lupeni: „Dacă mai calci în Valea Jiului, pleci cu picioarele în ghips. Să nu Sănu te văd în Piața Victoriei, nu răspund de faptele mele""",,,,,,2.5
Cozmin Gusa,cozminhoreagusa,100063303756078,PERSON,RO,Cozmin Gusa - Pagina Oficiala,2019-09-12 14:11:16,50576,106407,2023-09-21 21:32:00 EET,2023-09-21,21:32:00,Photo,"2,082",1094,285,348,8,20,114,27,184,2,,-,0,0,0,N/A,https://www.facebook.com/100063303756078/posts/635594341894019,Maia Sandu nu putea rata această întâlnire la New York. Cu șefii nu te joci! (iar eu v-amintesc că Moldova=Republica Soros),https://www.facebook.com/photo.php?fbid=635594318560688&set=a.384763180310471&type=3,,alexsoros,,,,,,3.1
Diana Iovanovici Șoșoacă- Oficial,DianaSosoacaOficial,100064686406556,POLITICIAN,RO,"Diana Iovanovici-Șoșoacă, Senator - Pagina oficială de Facebook",2021-02-28 15:24:10,201797,454607,2023-09-21 06:37:57 EET,2023-09-21,06:37:57,Native Video,"1,917",1115,155,450,182,0,1,3,2,9,owned,Yes,7056,9200,0,00:01:09,https://www.facebook.com/100064686406556/posts/713466784152862,Şcoala nu are nici o legătură cu politica şi nici nu ar trebui să aibă!,https://www.facebook.com/DianaSosoacaOficial/videos/296694716316636/,,,,,,,,1.75
