Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,422684,680220,2023-09-11 20:21:15 EET,2023-09-11,20:21:15,Live Video Complete,"14,543",6524,4309,2714,866,16,34,17,19,44,owned,Yes,83836,95938,0,02:16:03,https://www.facebook.com/100044414259997/posts/839799420938019,"LAURENTIU PRIMO SI D. COARNA DESPRE MANIPULARI, DRONE, PLANDEMIE SI ALTE NENOROCIRI!",https://www.facebook.com/LuisLazarusZeusTV/videos/839799420938019/,,,"LAURENTIU PRIMO SI D. COARNA DESPRE MANIPULARI, DRONE, PLANDEMIE SI ALTE NENOROCIRI!",,,,,1.19
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,423142,680652,2023-09-12 10:52:09 EET,2023-09-12,10:52:09,Live Video Complete,"7,646",3953,1178,1820,494,30,30,44,55,42,owned,Yes,91477,100862,0,01:36:13,https://www.facebook.com/100044414259997/posts/320347447151331,"DESPRE PANDEMII CE URMEAZA, DESPRE CUM FLORIDA, USA SE OPUNE ORICAREI RESTRICTII, DESPRE CUM MORI PRIN SPITALE SI CUM VA FI ABOLITA CENZURA!",https://www.facebook.com/LuisLazarusZeusTV/videos/320347447151331/,,,"SUPERSHOW CU ANCA ALEXANDRESCU! INVITATI: LUIS LAZARUS, OVIDIU ZARA, MIRCEA N STOIAN SI DR NICOLESCU",,,,,-1.58
Subiectiv cu Razvan Dumitrescu,Subiectiv.RazvanDumitrescu,100047456172747,JOURNALIST,RO,Pagina oficiala de facebook a emisiunii Subiectiv.,2011-09-16 12:21:08,272428,366058,2023-09-12 13:48:00 EET,2023-09-12,13:48:00,Status,"5,744",2882,358,1382,92,28,980,3,6,13,,-,0,0,0,N/A,https://www.facebook.com/100047456172747/posts/827360025522529,"Acest text circula pe NET si circula bine! Il redau ca atare. Dragul meu fiu, Vineri ai ales să nu mergi la școală, pentru a protesta împotriva încălzirii globale și a celor care nu fac suficient pentru a o stopa. Sunt foarte mândru de faptul că, iei atitudine și, mai ales, pentru că mi-ai deschis ochii, arătându-mi ceea ce trebuie făcut pentru a salva planeta. Fiind emoționat profund de maturitatea, de care dai dovadă la vârsta liceului, am decis să fiu solidar cu generația voastră și am luat câteva decizii esențiale pentru a reduce amprenta noastră de carbon: 1) Ne vom debarasa de toate smartfonurile din casă, vom renunța la consolele de jocuri video și toate ecranele de televizor: știm că astea toate produc deșeuri și poluează râurile din sud-estul asiatic. 2) Am anulat toate contractele de internet și telefonie, cutiile în care sunt instrumentele de conectare provoacă, și ele, poluare. 3) Vom schimba modul nostru de viață: nu mai mergem de două ori pe an la schi în Elveția și nu vom mai pleca în vacanță cu avionul. Am anulat vacanța din California de la vară. Am vândut apartamentul de pe Coasta de Azur. Am cumpărat biciclete, cu care vom face un traseu în munți. Desigur, bicicletele nu sunt electrice, pentru că bateriile aferente nu sunt reciclabile. 4) În ceea ce privește hrana noastră, am renunțat total la fileul de vită (știi bine cât de mult poluează vacile) și în loc vom avea greieri pane și mult tofu. Trebuie să privilegiem circuitele alimentare scurte, de aceea am cumpărat 20 de găini și un porc. În fiecare dimineață, la ora 6, va trebui să cureți în cocina porcului și să îi dai de mâncare. În fiecare săptămână îți revine sarcina să tai o găină și să o jumulești. Renunțăm la Nutella, la Coca Cola sau alte băuturi de acest gen. 5) Am decis să vând instalația de aer condiționat, iar iarna vom avea cel mult 16 grade în casă, 10 în camera în care dormi. 6) Am cumpărat o grădină în afara orașului, unde vei putea să plantezi toate legumele, de care avem nevoie. Din păcate, după operația mea de hernie de disc nu mai pot lucra grădina, așa că va trebui să sapi și să plivești tu, împreună cu prietenii tăi. 7) Cu siguranță vei fi de acord cu schimbarea garderobei : am dat celor mai săraci toate hainele tale de firmă și toate perechile de pantofi : am citit că ele sunt fabricate de oameni foarte prost plătiți și folosesc materiale sintetice. Așa că vei găsi în dulap 3 perechi de pantaloni, tricouri și alte haine necesare, făcute din materiale eco-responsabile, cum ar fi inul și cânepa. Găsești, în dulapul cu pantofi, și o pereche de sandale. Nu vom mai folosi bumbac, pentru că e cunoscută risipa de apă care se face cu culturile de bumbac. 😎 Nu aș vrea să suferi de lipsa distracțiilor la vârsta ta fragedă. Te-am înscris la clubul de șah local și am instituit ora de lectură în fiecare seară. Toate cărțile vor fi făcute din hârtie reciclată. Începem cu studiul scrierilor lui Thomas Mann și a clasicilor greci. Îți mulțumesc, dragul meu fiu, că nu mă lași să devin un reacționar și să mă mențin în ton cu mentalitatea tinerei generații. Tatăl tău iubitor.",,,,,,,,,1.92
Iosefina Iosefina Pascal,IosefinaIosefinaPascal,100063953040074,NEWS_SITE,RO,"NU mor Iosefinele, cand vor cainii",2019-04-25 16:10:49,84663,94579,2023-09-12 21:33:16 EET,2023-09-12,21:33:16,Live Video Complete,"3,934",2119,338,1059,379,11,4,7,5,12,owned,Yes,11153,17302,0,00:46:31,https://www.facebook.com/100063953040074/posts/718679979712785,"Arahat e isterizat - își acoperă ilegalitățile cu acte dubioase. Parchetul European este pe urma lui. BOMBĂ totală: Legătura dintre cazul 2 mai și Crevedia - grupurile infracționale păstorite de ""băieți"". Întâlnirile dubioase dinainte de incendiu. Războiul băieților intră în linie dreaptă Pregătiri de război într-un județ al României - DOCUMENT exclusiv",https://www.facebook.com/IosefinaIosefinaPascal/videos/718679979712785/,,,,,,,,7.87
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,8508,28936,2023-09-12 13:17:38 EET,2023-09-12,13:17:38,Live Video Complete,"3,581",1543,1018,755,224,7,2,9,12,11,owned,Yes,11493,15225,0,01:39:12,https://www.facebook.com/100085495329227/posts/1291715978144153,SOLO LIVE in loc de GOLD FM - 12 sep 2023,https://www.facebook.com/100085495329227/videos/1291715978144153/,,,SOLO LIVE in loc de GOLD FM - 12 sep 2023,,,,,2.11
Cozmin Gusa,cozminhoreagusa,100063303756078,PERSON,RO,Cozmin Gusa - Pagina Oficiala,2019-09-12 14:11:16,50537,106190,2023-09-12 18:18:06 EET,2023-09-12,18:18:06,Photo,"3,399",1977,276,618,7,193,140,72,107,9,,-,0,0,0,N/A,https://www.facebook.com/100063303756078/posts/631113355675451,,https://www.facebook.com/photo.php?fbid=631113339008786&set=a.384763180310471&type=3,,"Halep, Serena, Țiriac și americanii. ""Decizia aiuritoare în cazul Halep a fost luată la presiunile Serenei Williams&SoÈul, prima cu 0 dușmănie veche contra lui Simo, al doilea din cauza lui Țiriac, ce l-a țepuit cu banii. Americanii controlează deciziile ITIA, azi SUA sunt controlate de Obama, principalul suporter al Serenei, ceeși și prietenă bună cu Michelle Obama. Punct. Trăiască parteneriatul strategic..."" Cozmin Gușă",,,,,,5.14
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,143708,160937,2023-09-11 16:39:22 EET,2023-09-11,16:39:22,Status,"3,320",2361,124,535,13,7,3,239,34,4,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/328722496395631,"Apropo de tema minciunii ca medicament din cele două postări anterioare: Ideea plandemiei nu a dispărut. Dimpotrivă, sunt semne tot mai clare că ciorba va fi reîncălzită curând. Așteptați să dea un pic frigul și apară guturaiul. Imediat vor apărea și măștile. Starea de alertă poate apărea imediat, în orice moment. Știți de ce? Pentru că ne place să fim mințiți. Suntem ușor de dus de nas cu minciunile “nobile” ale minunaților oameni de afaceri, știință și birou care se pun filantropic în slujba științei și a interesului public. Și mai știți de ce? Pentru că nimeni nu a cerut pușcăria și obligarea la daune a celor vinovați de nenorocirile din plandemie și pentru cele post-vakseenare. Toți au zis că-s prea săraci pentru asta. Nimeni nu s-a întrebat dacă nu cumva a sărăcit din cauza minciunii pe care a ingerat-o ca medicament.",,,,,,,,,1.93
Dragoș Bistriceanu - Pagina publică,bistriceanudragos,100063550934191,JOURNALIST,RO,"Opinii tăioase, sincere și asumate din partea unui simplu jurnalist!",2018-10-19 13:25:12,36550,91281,2023-09-13 14:55:41 EET,2023-09-13,14:55:41,Native Video,"2,199",1530,188,407,28,10,5,13,15,3,owned,Yes,9380,9544,0,00:03:25,https://www.facebook.com/100063550934191/posts/805669108228113,ATENȚIE! Să nu picați pe fenta!,https://www.facebook.com/bistriceanudragos/videos/1231620417501809/,,,FIȚI PE FAZĂ!,,,,,1.55
Cozmin Gusa,cozminhoreagusa,100063303756078,PERSON,RO,Cozmin Gusa - Pagina Oficiala,2019-09-12 14:11:16,50537,106190,2023-09-12 21:58:40 EET,2023-09-12,21:58:40,Photo,"1,919",1518,162,170,35,8,10,8,2,6,,-,0,0,0,N/A,https://www.facebook.com/100063303756078/posts/631187562334697,"Pentru România, Kosovo chiar e Serbia! Incidentul de la meciul din această seară, când kosovarii au părăsit terenul pentru că s-au simțit jigniți de scandarea “Kosovo e Serbia!”, nu va fi simplu de administrat la nivel de sancțiuni. Fotbalul nu poate bate legea, iar din acest punct de vedere în România statul Kosovo nu e recunoscut, decât eventual la nivel public, ca fiind o regiune a Serbiei. Echipa României nu poate fi deci sancționată pentru scandările și bannerele suporterilor, regretabile oricum, dar care vin însă după ce în meciul tur imnul României a fost huiduit de întreg stadionul kosovar. Dacă nu se întorc pe teren, soluția regulamentară ar fi meci pierdut de Kosovo cu 3-0. Numai că vorbim și-aici despre geopolitică, care din nefericire bate chiar și “sportul rege”, deci să ne așteptăm la ceva rău pentru noi! Cozmin Gușă",https://www.facebook.com/photo.php?fbid=631187999001320&set=a.384763180310471&type=3,,,,,,,,2.91
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,143726,160955,2023-09-12 11:36:00 EET,2023-09-12,11:36:00,Status,"1,776",1382,43,319,12,3,1,8,2,6,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/329156983018849,"Armata SUA are 900 de baze militare în nu mai puțin de 153 de state ale lumii. Minciuna nobilă este că nu ar fi vorba despre un imperiu ținut în picioare cu bugete anuale de 7-800 de miliarde de dolari și prin controlul securistic al liderilor politici ai „Occidentului colectiv”, ci o garanție a libertății, a democrației și a „ordinii mondiale bazate pe reguli”. Pe baza acestei imense etalări a forței militare americane, economia financiarizată (desprinsă aproape total de conceptul de producție și industrie) și imperialismul cultural continuă să prevaleze, cu toate flagrantele dovezi ale caracterului lor nociv. China a colonizat economic o mare parte a Africii, construind, de exemplu, trenuri de mare viteză în state ca Maroc sau Egipt, trenuri care circulă de regulă goale, întrucât costul transportului este imposibil de suportat de africanul de rând. Minciuna nobilă este că civilizația chineză aduce în Africa locuri de muncă, drumuri, poduri, spitale și școli, iar nu colectori de resurse necesare imensei sale economii și, colateral, dictatura digitală și ratingul de cetățean tipic chinezești. Rusia a jucat cartea BRICS, dând impresia a coalizat în jurul său acea parte a lumii care se opune direct sau indirect imperialismului american și că promovează normalitatea împotriva unui curent cultural care asimilează anormalul cu diversitatea și calcă în picioare modul conservator de trai. În acest timp, Rusia introduce rubla digitală, pașaportul digital, „imunizarea” obligatorie și „orașele de 15 minute”, ca și când ar fi cel mai silitor elev al Formului Economic Mondial de la Davos. În plus, prin oligarhii săi „occidentali” (care joacă prost cartea dizidenței), prin serviciile sale secrete și prin liderii săi para-militari își intensifică comportamentul intrigant și subversiv, implicându-se în tot felul de războaie civile sau lovituri de stat, prin Africa sau Arabia. Pentru cât mai contează, Uniunea Europeană se laudă cu modelul său economic și democratic, cu valorile și standardele comunității, cu liberalismul și cu diversitatea, cu lupta cu plandemiile și schimbările climaterice, dar derapează din ce în ce mai hotărât și abrupt pe panta minciunii „nobile” cum că măsurile pe care le adoptă și le pune în aplicare sunt pentru salvare, redresare și reziliență, iar nu pentru control și pentru acumularea puterii în mâinile elitelor tot mai subțiate și mai viclene care conduc căruța bruxeleză sub numele fals de „salvatori”. Uniunea Europeană este atât de liberală și de pro-diversitate încât a organizat și finanțat o armată de 140 de mii de „verificatori ai faptelor”, menită a vâna și neutraliza orice dizident care gândește, vorbește și acționează invers decât se așteaptă „nobilii” mincinoși ai birocrației bruxeleze. Mișcările politice anti-sistem sunt izolate prin ordin direct și chiar prin reglementări, politicienii indezirabili fiind carantinați în interiorul unor „cordoane sanitare”, ca și când ar fi infectați cu dizidență, iar supușii imperiali ar putea fi contaminați … În toate cele patru exemple, minciuna se aplică poporului de supuși ce așteaptă să fie salvați exact la fel ca un medicament. Presa, rețelele de socializare, mediile culturale și universitare, totul este supus și înscris forțat în matricea acestui set enorm de minciuni „nobile”. Una dintre cauzele proliferării și relativului succes la public ale acestei forme oficiale de minciună (corectă politic și trezită) este confuzia între minciună și fals, între știință propriu-zisă și pseudo-știință și între știre și opinie. Minciuna este un fals intenționat. Este un fapt sau un comportament în mod principial condamnabil moral și judiciar. Falsul este incorectul, inversul adevărului (=corespondența afirmației cu realitatea obiectivă). Câtă vreme nu este încărcat de motive intenționate, falsul nu devine minciună și nici nu are consecințe morale sau legale. Nici greșeala de apreciere (eroarea, iluzia, biasul cognitiv) și nici judecățile prescurtate, adică, oligo-rațiunile (preconcepțiile, gândirea de grup, alinierea la comportamentul liderului, imitarea autorității) nu sunt minciuni. Sunt lucruri grave care pot afecta mulțimi mari de oameni, dar nu sunt minciuni, adică falsuri intenționate. La nivel individual și concret, motivele pentru care mințim sunt infinite și nu toate minciunile sunt vinovate. Există situații – limită în care omul concret este chiar obligat să mintă, întrucât adevărul ar face rău altuia. Când minciuna provine de la autoritățile publice, care fac politici publice din falsurile intenționate, încărcate de ideologie, este grav atât din perspectivă democratică, cât și din perspectiva credibilității. Un mincinos oficial care spune că minte, chiar în mod „nobil” și cu titlu de medicament, nu mai poate fi crezut nici măcar când spune adevărul. Poporul nu mai poate urma astfel de autorități publice, mai devreme sau mai târziu revoltându-se. Falsurile intenționate din știință pot duce la ideologizarea științei, adică la sa (truncated)",,,,,,,,,1.06
