Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Cozmin Gusa,cozminhoreagusa,100063303756078,PERSON,RO,Cozmin Gusa - Pagina Oficiala,2019-09-12 14:11:16,50013,103344,2023-08-18 15:38:27 EET,2023-08-18,15:38:27,Native Video,"36,787",21861,1350,12544,647,92,174,27,30,62,owned,Yes,386891,479097,0,00:03:52,https://www.facebook.com/100063303756078/posts/619721196814667,Un african le predă americanilor o lecție excepțională despre democrație. În doar 4 minute! 👏💪,https://www.facebook.com/cozminhoreagusa/videos/3693008050929560/,,,,,,,,11.59
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,408933,667123,2023-08-17 20:20:36 EET,2023-08-17,20:20:36,Live Video Complete,"21,958",8759,6599,4460,1948,11,50,21,30,80,owned,Yes,131452,150454,0,03:09:26,https://www.facebook.com/100044414259997/posts/310360858188765,"DIANA SOSOACA SI STEGARUL DAC, CEZAR AVRAMUTA, LIVE, DESPRE MOARTEA SUSPECTA A DEP F. TOBA, SCANDALUL DE LA MINISTERUL SANATATII! DIANA PROPUNE ORGANIZAREA UNUI CONCURS PENTRU STABILIREA PREMIERULUI ROMANIEI!!!",https://www.facebook.com/LuisLazarusZeusTV/videos/310360858188765/,,,"DIANA SOSOACA SI STEGARUL DAC, CEZAR AVRAMUTA, LIVE, DESPRE MOARTEA SUSPECTA A DEP F. TOBA, SCANDALUL DE LA MINISTERUL SANATATII! DIANA PROPUNE ORGANIZAREA UNUI CONCURS PENTRU STABILIREA PREMIERULUI ROMANIEI!!!",,,,,1.94
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,409255,667403,2023-08-20 19:43:23 EET,2023-08-20,19:43:23,Live Video Complete,"19,211",6698,5047,5950,1307,22,15,76,29,67,owned,Yes,86837,100388,0,02:33:38,https://www.facebook.com/100044414259997/posts/683959830277049,"MARIUS TUDOR, DIANA SOSOACA SI LAURENTIU PRIMO, PENTRU PRIMA DATA IMPREUNA LA O EMISIUNE! AFLATI ACUM DACA DIANA S-A CERTAT VREODATA CU PRIMO! POLITICIENII AU INTRAT IN CAMPANIE ELECTORALA, IAR COPIII NOSTRI SUNT OMORATI DE PSIHOPATI PE STRAZI!",https://www.facebook.com/LuisLazarusZeusTV/videos/683959830277049/,,,"MARIUS TUDOR, DIANA SOSOACA SI LAURENTIU PRIMO, PENTRU PRIMA DATA IMPREUNA LA O EMISIUNE! AFLATI ACUM DACA DIANA S-A CERTAT VREODATA CU PRIMO! POLITICIENII AU INTRAT IN CAMPANIE ELECTORALA, IAR COPIII NOSTRI SUNT OMORATI DE PSIHOPATI PE STRAZI!",,,,,1.88
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,409058,667229,2023-08-18 20:12:25 EET,2023-08-18,20:12:25,Live Video Complete,"10,812",4704,3018,2305,701,16,10,16,10,32,owned,Yes,61093,72623,0,01:54:44,https://www.facebook.com/100044414259997/posts/801082185139539,"AV. D. CHITIC, PROF. DR. MONICA POP SI JURNALISTUL I. SPANU DESPRE ATACUL ASUPRA ROMANIEI !",https://www.facebook.com/LuisLazarusZeusTV/videos/801082185139539/,,,"AV. D. CHITIC, PROF. DR. MONICA POP SI JURNALISTUL I. SPANU DESPRE ATACUL ASUPRA ROMANIEI !",,,,,-1.03
Diana Iovanovici Șoșoacă- Oficial,DianaSosoacaOficial,100064686406556,POLITICIAN,RO,"Diana Iovanovici-Șoșoacă, Senator - Pagina oficială de Facebook",2021-02-28 15:24:10,200870,454161,2023-08-17 15:08:16 EET,2023-08-17,15:08:16,Live Video Complete,"9,642",2711,3564,2734,577,4,11,8,17,16,crosspost,Yes,35068,47029,54803,02:20:43,https://www.facebook.com/100064686406556/posts/315915594151701,,https://www.facebook.com/DianaSosoacaOficial/videos/315915594151701/,,,,,,,,13.56
Cristian Terhes,CristianVTerhes,100063648702791,POLITICIAN,RO,"Cristian Terhes - Europarlamentar PNTCD, membru in Grupul ECR",2019-03-25 13:52:13,272415,401130,2023-08-18 09:34:13 EET,2023-08-18,09:34:13,Photo,"5,484",3542,496,1269,147,15,3,1,3,8,,-,0,0,0,N/A,https://www.facebook.com/100063648702791/posts/792369272894689,"O înaltă curte din Africa de Sud a decis că guvernul trebuie să publice în 10 zile TOATE contractele precum și alte documente privind achizițiile vaccinurilor COVID-19 Ministerul sănătăţii din Africa de Sud trebuie să publice în 10 zile toate contractele pe care le-a semnat pentru achiziția de vaccinuri COVID-19, precum și procesele verbale sau orice alte documente/acte ce au rezultat din pregătirea sau în urma întâlnirilor dintre guvern cu firmele producătoare de vaccinuri, a decis pe data de 17 august 2023 înalta curte din Pretoria. Decizia vine după ce ministerul sănătății a refuzat să comunice pe data de 19 iulie 2021 respectivele acte, în baza legii de acces la informații publice, asociației Health Justice Initiative (HJI), un ONG ce militează pentru o transparență crescută, notează site-ul news24. Health Justice Initiative ceruse copii după toate contractele de achiziții și memorandumurile de înțelegere, inclusiv înțelegerile cu Johnson & Jonhson, Pfizer și alte firme. De asemenea, organizația ceruse copii după toate procesele verbale ale întâlnirilor reprezentanților guvernelor cu firmele producătoare de vaccinuri, mai notează news24. În urma analizării tuturor argumentelor pro și contra, instanța a decizis că argumentele ministerului sunt nefondate, motiv pentru care acesta trebuie să comunice Health Justice Initiative toate documentele cerute. Argumentele ministerului sănătății, găsite ca nefondate de instață, se refereau la faptul că există o înțelegere bilaterală între părți să nu publice contractele, că ar exista o clauză de confidențialitate în contracte, că interesele prezente și viitoare ale republicii fac imposibilă publicarea lor și, nu în ultmul rând, că nu există obligația publicării acestora în numele interesului public. ""Argumentele folosite de ministerul sănătății din Africa de Sud pentru a refuza comunicarea documentelor cerute sunt exact aceleași care se folosesc și în Europa pentru a justifica abuziv nepublicarea integrală a acestor contracte. Nici o țară nu se poate pretinde democratică câtă vreme nu publică integral aceste contracte cu firmele producătoare de pretinse vaccinuri anti COVID-19"", a spus europarlamentarul Cristian Terheș. În concluzie, în baza acestei hotărâri, ministerul sănătății din Africa de Sud va trebui să comunice către Health Justice Initiative copiile tuturor contractelor, proceselor verbale sau corespondențe avute cu, incluzând și subdiviziuni ale acestora: ● Johnson & Johnson ● Aspen Pharmacare ● Pfizer ● Serum Institute of India ● Sinovac/Coronavac ● Orice alţi producători de vaccinuri ● The African Union Vaccine Access Task Team ● COVAX ● The Solidarity Fund. Termenul de publicare al acestor documente este de 10 zile, începând cu data de 17 august 2023. ""Decizia curții supreme a Africii de Sud este o victorie imensă pentru umanitate, transparență și răspunderea guvernamentală. Poate se inspiră și judecătorii europeni, inclusiv cei români, din această hotărâre judecătorească"", a concluzionat europarlamentarul Cristian Terheș. Biroul de presă al Europarlamentarului Cristian Terheș https://www.news24.com/citypress/news/court-orders-health-department-to-hand-over-all-covid-vaccine-contract-info-to-npo-20230817 https://www.news24.com/news24/southafrica/news/cough-up-the-covid-contracts-court-orders-health-department-to-disclose-vaccine-procurement-contracts-20230817 https://twitter.com/HealthJusticeIn/status/1692065251435454795 https://healthjusticeinitiative.org.za/pandemic-transparency/ Hotararea Curtii Supreme din Pretoria https://www.scribd.com/document/665517763/The-Health-Justice-vs-Min-of-Health-Judgment",https://www.facebook.com/photo.php?fbid=792369242894692&set=a.332974835500804&type=3,,BREAKING NEWS 17.08.2023 Instanța supremă din Africa de Sud a decis publicarea în 10 zile a tuturor contractelor privind achiziționarea vaccinurile COVID-19 news24 24 Trusted News. First sursa: news24.com NEWS Search FOR SUBSCRIBERS INVESTIGATIONS ago POLITICS BUSINESS SPORT LIFE OPINIO Share Cough up the Covid contracts: Court orders health department to disclose vaccine procurement contracts,,,,,,-1.07
Cezar Ionascu,CezarIonascuRO,100066813237286,ACTIVITY_GENERAL,RO,koji.to/@cezarionascu,2017-10-17 23:44:42,64398,147906,2023-08-20 14:43:19 EET,2023-08-20,14:43:19,Native Video,"4,847",3553,274,831,136,9,23,3,2,16,owned,Yes,28400,43088,0,00:00:58,https://www.facebook.com/100066813237286/posts/635124292058006,Indicatii tehnice pentru baietii tineri. Si nu numai.,https://www.facebook.com/CezarIonascuRO/videos/1318362885748258/,,,,,,,,10.77
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,8324,28608,2023-08-20 16:14:14 EET,2023-08-20,16:14:14,Live Video Complete,"3,964",1750,896,957,336,5,1,2,1,16,owned,Yes,11663,14906,0,01:44:39,https://www.facebook.com/100085495329227/posts/615157074130451,"LIVE cu Stegarul Dac aflat la mare inaltime In timpul emisiunii, surprinzător, a intrat și Florian Colceag, antrenorul de genii! 20 august 2023",https://www.facebook.com/100085495329227/videos/615156944130464/,,,LIVE cu Stegarul Dac aflat la mare inaltime,,,,,2.41
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,142894,160118,2023-08-18 12:58:45 EET,2023-08-18,12:58:45,Status,"3,905",2984,130,683,61,7,4,23,4,9,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/316047260996488,"Țapii care tre’ să ispășească pentru banalizarea răului (II) Cum se explică, totuși, acest paradox al diluării răspunderii în oceanul vinovăției, în cea mai “rațională” dintre lumi, în plină “ordine internațională bazată pe reguli”? E frustrant că, atunci când o mamă fură o dură de cașcaval pentru a-și hrăni copii subnutriți, ia trei ani de pușcărie cu executare, nu? E de-a dreptul kafkiană lumea în care cetățeanul obișnuit care omite să trimită la poliție dovada plății amenzii de 200 de lei sau o virgulă în declarația de actualizare a datelor cu caracter personal, are imediat conturile bancare blocate, salariul poprit și, eventual, bunurile de valoare scoase la mezat, nu? Și e de epoca inchiziției medievale arderea pe rugul digital a “negaționistului” sau a „conspiraționistului” care atrage atenția că împăratul nu are haine noi, ci e gol pușcă și își expune indecent șuncile în public. Știm deja că ereticul este imediat suspendat din viața publică și, până la urmă, aruncat peste zidurile cetății, extra muros. Dar cum se face că infractorii globali, criminalii sistemici și complicii lor sunt imuni la răspundere? Explicația nu este simplă. Poate că un mod relativ ușor de a înțelege este scena dintr-un film care rulează zilele astea pe Netflix. Pain Killers este povestea romanțată a scandalului opioidelor din SUA, „medicamente” care au cauzat peste 300 de mii de decese și milioane de dependenți. Aceste pastile, cinic denimite „ucigași ai durerii”, au cauzat cele mai grele și mai multe suferințe afro-americanilor, hispanicilo și săracilor lipiți, adică fix celor pe care politicile woke, progresiste, îi consideră principalii destinatari și candidați la fericirea curcubeică. Purdue, principala companie producătoare a „ucigașilor durerii”, a scăpat de răspundere printr-un acord pe câteva miliarde de euro cu procurorii (acord în care nu și-a recunoscut nicio vină), iar acționarii săi au scăpat printr-o procedură de faliment, amical deschisă și derulată în statul Texas. Despăgubirile de zeci de miliarde de dolari cuvenite victimelor sau urmașilor lor se îngroapă în procedură, cu fiecare zi ce trece. Vor fi, desigur, uitate, nu foarte curând, dar uitate. Unul dintre personajele filmului are o replică memorabilă. Întrebat fiind „ce facem dacă o să înceapă să moară oamenii în urma consumului acestor otrăvuri de pastile”, tipul răspunde: „nu îmi pasă, nu mă tem, pentru că (i) pastilele au fost autorizate pentru a fi puse pe piață de Food an Drog Administration și (ii) medicii le-ua prescris, asumându-și responsabilitate și câștigând bani frumoși din faptul în sine al prescrierii ca medicament; deci, hai să facem niște miliarde de dolari”. Așadar, dacă autoritățile au dat girul lor unei crime (din prostie sau din corupție), vina se împarte cu autoritățile. Dacă medicii au prescris otrava, vina se împarte și cu medicii. Dacă oamenii au cerut pastila (de exemplu, pentru că au devenit dependenți de ea), vina se împarte și cu victimele. Dacă influencerii, companiile de advertising și mass media au făcut bani din promovarea pastilelor ucigașe, vina le aparține și lor. De aici concluzia că, dacă toată lumea este vinovată, nimeni în mod concret nu mai e vinovat. Ca o picătură de otravă într-o piscină aseptică, vinovăția unui singur om sau a unui grup restrâns, dar concret, se diluează și, deci, devine inofensivă, ne-pedepsibilă. Vinovăția tuturor diluează vinovăția individuală. Blurează identitatea criminalului. Elimină responsabilitatea persoanei. În acest fel, oricât de satanic, oricât de cinic, răul se banalizează. O întreagă civilizație participă la crimă și ajunge să nu mai poată distinge răul cotidian de binele principial. Oameni care, în mod normal, nu ar face rău nimănui, ajung să facă rău doar prin faptul intrării în acest curent al răului, chiar fără să mai perceapă grozăvia faptelor mulțimii din care face parte. Este ceea ce, după explicația dată de Hannah Arendt, a dus societatea nazistă germană din perioada 1933-1945 la toleranța față de holocaust. Banalizarea răului face ca cele mai sinistre manifestări ale iadului să se vadă și să fie resimțite pe Pământ. Intră în acest curent, de bună voie, idioții utili ai totalitarismelor, ai pseudo-științei, ai marketingului, precum și „tatuații mintal”, care cred sincer că, având tatuată pe frunte eticheta pe care scrie „știință”, superioritate de rasă, progres, fac parte din clubul select al elitelor eroice și glorioase, îndreptățite să îi strivească pe oamenii “inferiori”, pe medievali și pe sceptici. Catastrofic pentru om este că răul diabolic este tigrul din odaie, este la vedere, dar nu mai poate fi văzut. De aici această concluzie debilitantă pentru omul rațional, care ar putea avea pretenția că a învățat ceva din istorie: cei mai mulți oameni se lasă trași în acest curent al răului banalizat, se obișnuiesc cu el, ajung să îl considere „natural” și, inconștient, spală păcatele autorilor reali ai crimelor, prin diluarea în mulțime. Într-o mare de umbrele se (truncated)",,,,,,,,,2.37
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,8268,28496,2023-08-17 14:24:34 EET,2023-08-17,14:24:34,Live Video Complete,"3,141",996,1372,518,237,1,1,8,4,4,owned,Yes,7676,11651,0,03:37:32,https://www.facebook.com/100085495329227/posts/3584180238497000,"Stop Impunerii Vaccinării Ministerul Morții, Torționarilor și al Incendiilor (adică numai al Sănătății, NU) 17 aug 2023",https://www.facebook.com/100085495329227/videos/3584180111830346/,,,Stop Impunerii Vaccinării - Partea a 2-a,,,,,1.79
